charge_id,invoice_id,charge_type_id,amount
215,112,4,0.30
216,113,1,0.99
217,113,4,0.75
218,114,1,0.99
219,114,2,5.99
220,114,1,0.99
221,114,4,0.45
222,115,4,0.15
223,116,4,0.52
224,117,4,0.22
225,118,4,0.07
226,119,2,5.99
227,119,1,0.99
228,119,2,5.99
229,119,1,0.99
230,119,4,0.60
231,120,4,0.67
232,121,1,0.99
233,121,1,0.99
234,121,1,0.99
235,121,4,0.67
236,122,1,0.99
237,122,4,0.15
238,123,1,0.99
239,123,1,0.99
240,123,4,0.30
241,124,1,0.99
242,124,4,0.37
243,125,4,0.30
244,126,1,0.99
245,126,4,0.60
246,127,1,0.99
247,127,4,0.26
248,128,1,0.99
249,128,1,0.99
250,128,1,0.99
251,128,4,0.52
252,129,4,0.45
253,130,1,0.99
254,130,1,0.99
255,130,4,0.60
256,131,1,0.99
257,131,4,0.37
258,132,1,0.99
259,132,1,0.99
260,132,4,0.67
261,133,1,0.99
262,133,4,0.45
263,134,1,0.99
264,134,4,0.30
265,135,4,0.60
266,136,4,0.45
267,137,1,0.99
268,137,1,0.99
269,137,4,0.90
270,138,2,5.99
271,138,4,0.48
272,139,1,0.99
273,139,4,0.30
274,140,4,0.22
275,141,1,0.99
276,141,4,0.30
277,142,4,0.15
278,143,4,0.15
279,144,4,0.45
280,145,1,0.99
281,145,1,0.99
282,145,1,0.99
283,145,4,0.60
284,146,1,0.99
285,146,1,0.99
286,146,4,0.60
287,147,1,0.99
288,147,4,0.07
289,148,2,5.99
290,148,1,0.99
291,148,1,0.99
292,148,4,0.75
293,149,1,0.99
294,149,1,0.99
295,149,4,0.75
296,150,1,0.99
297,150,4,0.67
298,151,1,0.99
299,151,4,0.60
300,152,2,5.99
301,152,1,0.99
302,152,4,0.54
303,153,4,0.52
304,154,4,0.37
305,155,1,0.99
306,155,1,0.99
307,155,4,0.45
308,156,4,0.15
309,157,4,0.30
310,158,4,0.45
311,159,1,0.99
312,159,4,0.30
313,160,4,0.30
314,161,4,0.17
315,162,4,0.45
316,163,4,0.15
317,164,4,0.30
318,165,1,0.99
319,165,1,0.99
320,165,1,0.99
321,165,4,0.65
322,166,1,0.99
323,166,4,0.30
324,167,1,0.99
325,167,4,0.67
326,168,2,5.99
327,168,4,0.45
328,169,1,0.99
329,169,2,5.99
330,169,1,0.99
331,169,4,0.22
332,170,1,0.99
333,170,4,0.37
334,171,4,0.20
335,172,1,0.99
336,172,4,0.15
337,173,1,0.99
338,173,2,5.99
339,173,4,0.37
340,174,4,0.15
341,175,4,0.30
342,176,4,0.08
343,177,4,0.04
344,178,1,0.99
345,178,1,0.99
346,178,4,0.67
347,179,4,0.67
348,180,4,0.45
349,181,4,0.82
350,182,1,0.99
351,182,1,0.99
352,182,2,5.99
353,182,1,0.99
354,182,4,0.45
355,183,2,5.99
356,183,4,0.60
357,184,4,0.15
358,185,1,0.99
359,185,1,0.99
360,185,1,0.99
361,185,4,0.41
362,186,2,5.99
363,186,4,0.30
364,187,4,0.37
365,188,1,0.99
366,188,4,0.15
367,189,1,0.99
368,189,4,0.41
369,190,2,5.99
370,190,4,0.52
371,191,4,0.07
372,192,4,0.30
373,193,1,0.99
374,193,4,0.75
375,194,2,5.99
376,194,4,0.75
377,195,1,0.99
378,195,2,5.99
379,195,1,0.99
380,195,1,0.99
381,195,4,0.82
382,196,1,0.99
383,196,4,0.45
384,197,2,5.99
385,197,1,0.99
386,197,4,0.52
387,198,4,0.82
388,199,2,5.99
389,199,4,0.50
390,200,1,0.99
391,200,4,0.67
392,201,4,0.22
393,202,1,0.99
394,202,4,0.30
395,203,4,0.15
396,204,1,0.99
397,204,4,0.67
398,205,4,0.30
399,206,1,0.99
400,206,1,0.99
401,206,4,0.52
402,207,4,0.60
403,208,4,0.45
404,209,1,0.99
405,209,4,0.82
406,210,4,0.15
407,211,1,0.99
408,211,1,0.99
409,211,2,5.99
410,211,1,0.99
411,211,4,0.67
412,212,4,0.15
413,213,2,5.99
414,213,1,0.99
415,213,4,0.52
416,214,1,0.99
417,214,4,0.67
418,215,4,0.45
419,216,4,0.30
420,217,1,0.99
421,217,4,0.82
422,218,4,0.60
423,219,1,0.99
424,219,4,0.15
425,220,2,5.99
426,220,1,0.99
427,220,1,0.99
428,220,4,0.67
429,221,2,5.99
430,221,1,0.99
431,221,4,0.52
432,222,4,0.15
433,223,4,0.30
434,224,1,0.99
435,224,1,0.99
436,224,2,5.99
437,224,4,0.67
438,225,1,0.99
439,225,4,0.30
440,226,1,0.99
441,226,4,0.49
442,227,1,0.99
443,227,4,0.45
444,228,4,0.22
445,229,1,0.99
446,229,1,0.99
447,229,4,0.60
448,230,4,0.52
449,231,4,0.45
450,232,4,0.60
451,233,1,0.99
452,233,4,0.90
453,234,1,0.99
454,234,1,0.99
455,234,4,0.75
456,235,1,0.99
457,235,4,0.30
458,236,4,0.08
459,237,4,0.07
460,238,1,0.99
461,238,1,0.99
462,238,1,0.99
463,238,1,0.99
464,238,4,0.60
465,239,1,0.99
466,239,4,0.37
467,240,4,0.30
468,241,1,0.99
469,241,4,0.90
470,242,1,0.99
471,242,4,0.15
472,243,4,0.37
473,244,4,0.30
474,245,4,0.82
475,246,4,0.30
476,247,4,0.20
477,248,1,0.99
478,248,4,0.30
479,249,4,0.52
480,250,1,0.99
481,250,1,0.99
482,250,4,0.67
483,251,1,0.99
484,251,2,5.99
485,251,4,0.52
486,252,1,0.99
487,252,4,0.15
488,253,4,0.30
489,254,1,0.99
490,254,4,0.30
491,255,1,0.99
492,255,1,0.99
493,255,4,0.75
494,256,1,0.99
495,256,4,0.60
496,257,1,0.99
497,257,4,0.30
498,258,1,0.99
499,258,4,0.37
500,259,4,0.26
501,260,4,0.22
502,261,1,0.99
503,261,4,0.75
504,262,2,5.99
505,262,1,0.99
506,262,4,0.37
507,263,1,0.99
508,263,4,0.37
509,264,2,5.99
510,264,1,0.99
511,264,4,0.45
512,265,4,0.22
513,266,1,0.99
514,266,1,0.99
515,266,4,0.52
516,267,4,0.15
517,268,1,0.99
518,268,4,0.07
519,269,4,0.22
520,270,1,0.99
521,270,1,0.99
522,270,4,0.60
523,271,2,5.99
524,271,2,5.99
525,271,1,0.99
526,271,4,0.67
527,272,1,0.99
528,272,1,0.99
529,272,4,0.45
530,273,1,0.99
531,273,2,5.99
532,273,1,0.99
533,273,1,0.99
534,273,4,0.77
535,274,4,0.30
536,275,1,0.99
537,275,1,0.99
538,275,4,0.52
539,276,1,0.99
540,276,4,0.67
541,277,4,0.67
542,278,1,0.99
543,278,4,0.71
544,279,4,0.45
545,280,1,0.99
546,280,1,0.99
547,280,4,0.45
548,281,1,0.99
549,281,4,0.49
550,282,1,0.99
551,282,4,0.56
552,283,4,0.15
553,284,1,0.99
554,284,4,0.45
555,285,1,0.99
556,285,4,0.60
557,286,1,0.99
558,286,4,0.30
559,287,4,0.30
560,288,1,0.99
561,288,4,0.37
562,289,1,0.99
563,289,4,0.75
564,290,4,0.37
565,291,1,0.99
566,291,2,5.99
567,291,4,0.52
568,292,1,0.99
569,292,4,0.37
570,293,4,0.60
571,294,1,0.99
572,294,1,0.99
573,294,4,0.52
574,295,4,0.52
575,296,4,0.15
576,297,1,0.99
577,297,4,0.37
578,298,1,0.99
579,298,4,0.67
580,299,4,0.30
581,300,1,0.99
582,300,4,0.41
583,301,1,0.99
584,301,4,0.52
585,302,1,0.99
586,302,4,0.34
587,303,2,5.99
588,303,2,5.99
589,303,4,0.71
590,304,4,0.67
591,305,1,0.99
592,305,1,0.99
593,305,4,0.30
594,306,1,0.99
595,306,4,0.22
596,307,1,0.99
597,307,4,0.22
598,308,1,0.99
599,308,4,0.22
600,309,4,0.15
601,310,1,0.99
602,310,4,0.82
603,311,1,0.99
604,311,4,0.67
605,312,1,0.99
606,312,4,0.45
607,313,4,0.07
608,314,4,0.56
609,315,4,0.22
610,316,1,0.99
611,316,4,0.30
612,317,1,0.99
613,317,4,0.45
614,318,4,0.37
615,319,4,0.30
616,320,1,0.99
617,320,4,0.52
618,321,1,0.99
619,321,1,0.99
620,321,4,0.22
621,322,4,0.15
622,323,4,0.45
623,324,1,0.99
624,324,2,5.99
625,324,4,0.52
626,325,1,0.99
627,325,4,0.45
628,326,1,0.99
629,326,4,0.30
630,327,2,5.99
631,327,2,5.99
632,327,1,0.99
633,327,4,0.75
634,328,4,0.75
635,329,2,5.99
636,329,4,0.52
637,330,1,0.99
638,330,4,0.15
639,331,4,0.30
640,332,2,5.99
641,332,1,0.99
642,332,1,0.99
643,332,4,0.52
644,333,2,5.99
645,333,1,0.99
646,333,4,0.37
647,334,4,0.15
648,335,1,0.99
649,335,1,0.99
650,335,4,0.48
651,336,4,0.22
652,337,4,0.15
653,338,1,0.99
654,338,4,0.52
655,339,4,0.45
656,340,1,0.99
657,340,1,0.99
658,340,4,0.45
659,341,2,5.99
660,341,1,0.99
661,341,1,0.99
662,341,4,0.67
663,342,2,5.99
664,342,4,0.67
665,343,4,0.34
666,344,1,0.99
667,344,4,0.75
668,345,1,0.99
669,345,4,0.62
670,346,1,0.99
671,346,4,0.52
672,347,1,0.99
673,347,4,0.30
674,348,1,0.99
675,348,4,0.22
676,349,1,0.99
677,349,4,0.41
678,350,2,5.99
679,350,4,0.45
680,351,1,0.99
681,351,4,0.67
682,352,4,0.07
683,353,4,0.45
684,354,4,0.15
685,355,1,0.99
686,355,1,0.99
687,355,4,0.34
688,356,2,5.99
689,356,4,0.60
690,357,1,0.99
691,357,4,0.45
692,358,4,0.52
693,359,1,0.99
694,359,4,0.45
695,360,1,0.99
696,360,4,0.45
697,361,4,0.30
698,362,1,0.99
699,362,4,0.20
700,363,4,0.37
701,364,1,0.99
702,364,4,0.60
703,365,4,0.30
704,366,4,0.22
705,367,1,0.99
706,367,4,0.82
707,368,4,0.45
708,369,1,0.99
709,369,4,0.60
710,370,1,0.99
711,370,4,0.67
712,371,2,5.99
713,371,1,0.99
714,371,4,0.52
715,372,1,0.99
716,372,1,0.99
717,372,4,0.52
718,373,4,0.19
719,374,1,0.99
720,374,4,0.45
721,375,1,0.99
722,375,1,0.99
723,375,4,0.45
724,376,1,0.99
725,376,2,5.99
726,376,4,0.97
727,377,1,0.99
728,377,4,0.67
729,378,2,5.99
730,378,2,5.99
731,378,1,0.99
732,378,1,0.99
733,378,2,5.99
734,378,1,0.99
735,378,4,0.67
736,379,1,0.99
737,379,1,0.99
738,379,4,0.45
739,380,1,0.99
740,380,4,0.30
741,381,4,0.37
742,382,4,0.52
743,383,1,0.99
744,383,1,0.99
745,383,4,0.75
746,384,2,5.99
747,384,4,0.82
748,385,1,0.99
749,385,2,5.99
750,385,4,0.24
751,386,2,5.99
752,386,4,0.52
753,387,4,0.37
754,388,4,0.22
755,389,1,0.99
756,389,1,0.99
757,389,1,0.99
758,389,4,0.22
759,390,1,0.99
760,390,4,0.22
761,391,2,5.99
762,391,1,0.99
763,391,4,0.75
764,392,2,5.99
765,392,1,0.99
766,392,1,0.99
767,392,4,0.67
768,393,1,0.99
769,393,4,0.15
770,394,1,0.99
771,394,4,0.75
772,395,1,0.99
773,395,4,0.52
774,396,1,0.99
775,396,1,0.99
776,396,1,0.99
777,396,1,0.99
778,396,4,0.67
779,397,4,0.15
780,398,1,0.99
781,398,1,0.99
782,398,4,0.75
783,399,4,0.30
784,400,1,0.99
785,400,4,0.41
786,401,4,0.15
787,402,1,0.99
788,402,4,0.67
789,403,2,5.99
790,403,4,0.30
791,404,1,0.99
792,404,4,0.37
793,405,1,0.99
794,405,4,0.75
795,406,1,0.99
796,406,4,0.52
797,407,4,0.82
798,408,1,0.99
799,408,1,0.99
800,408,4,0.45
801,409,1,0.99
802,409,4,0.45
803,410,4,0.15
804,411,1,0.99
805,411,4,0.22
806,412,1,0.99
807,412,1,0.99
808,412,4,0.75
809,413,4,0.15
810,414,1,0.99
811,414,4,0.30
812,415,4,0.15
813,416,1,0.99
814,416,4,0.52
815,417,2,5.99
816,417,1,0.99
817,417,1,0.99
818,417,1,0.99
819,417,4,0.52
820,418,1,0.99
821,418,2,5.99
822,418,1,0.99
823,418,4,0.75
824,419,4,0.11
825,420,1,0.99
826,420,1,0.99
827,420,4,0.52
828,421,4,0.22
829,422,1,0.99
830,422,4,0.30
831,423,4,0.22
832,424,1,0.99
833,424,1,0.99
834,424,4,0.82
835,425,4,0.90
836,426,1,0.99
837,426,2,5.99
838,426,1,0.99
839,426,4,0.52
840,427,4,0.62
841,428,1,0.99
842,428,1,0.99
843,428,2,5.99
844,428,1,0.99
845,428,1,0.99
846,428,4,0.73
847,429,1,0.99
848,429,4,0.22
849,430,1,0.99
850,430,4,0.52
851,431,1,0.99
852,431,1,0.99
853,431,1,0.99
854,431,4,0.60
855,432,4,0.75
856,433,2,5.99
857,433,4,0.37
858,434,1,0.99
859,434,4,0.22
860,435,4,0.22
861,436,1,0.99
862,436,4,0.52
863,437,4,0.22
864,438,4,0.52
865,439,1,0.99
866,439,1,0.99
867,439,1,0.99
868,439,4,0.67
869,440,1,0.99
870,440,4,0.37
871,441,2,5.99
872,441,4,0.30
873,442,4,0.37
874,443,4,0.22
875,444,4,0.15
876,445,1,0.99
877,445,4,0.67
878,446,1,0.99
879,446,1,0.99
880,446,1,0.99
881,446,4,0.45
882,447,1,0.99
883,447,1,0.99
884,447,4,0.45
885,448,1,0.99
886,448,4,0.07
887,449,4,0.07
888,450,1,0.99
889,450,1,0.99
890,450,4,0.30
891,451,1,0.99
892,451,4,0.67
893,452,4,0.15
894,453,4,0.15
895,454,1,0.99
896,454,4,0.60
897,455,4,0.52
898,456,4,0.22
899,457,1,0.99
900,457,4,0.37
901,458,1,0.99
902,458,1,0.99
903,458,1,0.99
904,458,4,0.60
905,459,2,5.99
906,459,4,0.37
907,460,1,0.99
908,460,1,0.99
909,460,4,0.67
910,461,1,0.99
911,461,4,0.56
912,462,2,5.99
913,462,4,0.26
914,463,1,0.99
915,463,4,0.22
916,464,4,0.45
917,465,4,0.37
918,466,1,0.99
919,466,2,5.99
920,466,4,0.30
921,467,1,0.99
922,467,4,0.37
923,468,4,0.07
924,469,1,0.99
925,469,2,5.99
926,469,4,0.75
927,470,1,0.99
928,470,4,0.45
929,471,1,0.99
930,471,1,0.99
931,471,4,0.45
932,472,2,5.99
933,472,4,0.30
934,473,4,0.30
935,474,4,0.67
936,475,4,0.45
937,476,1,0.99
938,476,2,5.99
939,476,1,0.99
940,476,4,0.75
941,477,1,0.99
942,477,1,0.99
943,477,1,0.99
944,477,4,0.60
945,478,1,0.99
946,478,1,0.99
947,478,4,0.75
948,479,1,0.99
949,479,4,0.52
950,480,1,0.99
951,480,4,0.45
952,481,1,0.99
953,481,1,0.99
954,481,4,0.52
955,482,1,0.99
956,482,1,0.99
957,482,4,0.52
958,483,4,0.52
959,484,1,0.99
960,484,4,0.06
961,485,4,0.45
962,486,4,0.22
963,487,1,0.99
964,487,4,0.30
965,488,1,0.99
966,488,4,0.60
967,489,4,0.62
968,490,2,5.99
969,490,1,0.99
970,490,4,0.47
971,491,1,0.99
972,491,4,0.56
973,492,2,5.99
974,492,4,0.75
975,493,4,0.30
976,494,4,0.37
977,495,4,0.22
978,496,4,0.07
979,497,1,0.99
980,497,1,0.99
981,497,2,5.99
982,497,4,0.37
983,498,1,0.99
984,498,4,0.20
985,499,4,0.37
986,500,4,0.56
987,501,1,0.99
988,501,4,0.43
989,502,1,0.99
990,502,1,0.99
991,502,4,0.45
992,503,4,0.30
993,504,1,0.99
994,504,1,0.99
995,504,1,0.99
996,504,4,0.67
997,505,1,0.99
998,505,4,0.45
999,506,4,0.15
1000,507,4,0.15
1001,508,1,0.99
1002,508,4,0.45
1003,509,4,0.52
1004,510,4,0.30
1005,511,4,0.15
1006,512,1,0.99
1007,512,4,0.30
1008,513,4,0.60
1009,514,4,0.15
1010,515,4,0.45
1011,516,1,0.99
1012,516,4,0.15
1013,517,4,0.07
1014,518,1,0.99
1015,518,1,0.99
1016,518,4,0.22
1017,519,4,0.22
1018,520,1,0.99
1019,520,1,0.99
1020,520,4,0.75
1021,521,1,0.99
1022,521,2,5.99
1023,521,4,0.52
1024,522,4,0.30
1025,523,4,0.30
1026,524,4,0.22
1027,525,1,0.99
1028,525,1,0.99
1029,525,4,0.37
1030,526,4,0.45
1031,527,4,0.37
1032,528,1,0.99
1033,528,4,0.52
1034,529,1,0.99
1035,529,4,0.60
1036,530,4,0.45
1037,531,1,0.99
1038,531,4,0.15
1039,532,1,0.99
1040,532,4,0.30
1041,533,1,0.99
1042,533,4,0.37
1043,534,1,0.99
1044,534,1,0.99
1045,534,4,0.37
1046,535,4,0.37
1047,536,4,0.45
1048,537,2,5.99
1049,537,4,0.15
1050,538,1,0.99
1051,538,4,0.60
1052,539,1,0.99
1053,539,2,5.99
1054,539,1,0.99
1055,539,4,0.37
1056,540,1,0.99
1057,540,4,0.15
1058,541,1,0.99
1059,541,4,0.52
1060,542,4,0.22
1061,543,4,0.22
1062,544,2,5.99
1063,544,4,0.82
1064,545,1,0.99
1065,545,4,0.37
1066,546,1,0.99
1067,546,4,0.30
1068,547,4,0.52
1069,548,2,5.99
1070,548,4,0.15
1071,549,4,0.22
1072,550,2,5.99
1073,550,1,0.99
1074,550,4,0.60
1075,551,4,0.30
1076,552,4,0.30
1077,553,4,0.30
1078,554,1,0.99
1079,554,4,0.60
1080,555,1,0.99
1081,555,4,0.75
1082,556,1,0.99
1083,556,4,0.37
1084,557,4,0.22
1085,558,2,5.99
1086,558,1,0.99
1087,558,4,0.45
1088,559,2,5.99
1089,559,2,5.99
1090,559,4,0.63
1091,560,1,0.99
1092,560,2,5.99
1093,560,4,0.75
1094,561,4,0.30
1095,562,4,0.30
1096,563,4,0.15
1097,564,1,0.99
1098,564,2,5.99
1099,564,1,0.99
1100,564,4,0.52
1101,565,2,5.99
1102,565,4,0.15
1103,566,2,5.99
1104,566,1,0.99
1105,566,4,0.60
1106,567,4,0.30
1107,568,4,0.37
1108,569,4,0.30
1109,570,4,0.15
1110,571,4,0.30
1111,572,1,0.99
1112,572,4,0.45
1113,573,1,0.99
1114,573,4,0.75
1115,574,4,0.19
1116,575,1,0.99
1117,575,2,5.99
1118,575,4,0.52
1119,576,1,0.99
1120,576,4,0.45
1121,577,1,0.99
1122,577,1,0.99
1123,577,4,0.60
1124,578,1,0.99
1125,578,1,0.99
1126,578,4,0.37
1127,579,1,0.99
1128,579,4,0.22
1129,580,4,0.15
1130,581,4,0.30
1131,582,4,0.30
1132,583,1,0.99
1133,583,4,0.15
1134,584,4,0.75
1135,585,4,0.37
1136,586,1,0.99
1137,586,1,0.99
1138,586,4,0.26
1139,587,4,0.75
1140,588,1,0.99
1141,588,4,0.67
1142,589,4,0.30
1143,590,2,5.99
1144,590,4,0.52
1145,591,2,5.99
1146,591,1,0.99
1147,591,4,0.67
1148,592,1,0.99
1149,592,4,0.15
1150,593,1,0.99
1151,593,1,0.99
1152,593,1,0.99
1153,593,4,0.82
1154,594,4,0.30
1155,595,4,0.60
1156,596,1,0.99
1157,596,4,0.45
1158,597,4,0.08
1159,598,4,0.37
1160,599,1,0.99
1161,599,1,0.99
1162,599,1,0.99
1163,599,1,0.99
1164,599,4,0.67
1165,600,4,0.60
1166,601,1,0.99
1167,601,4,0.75
1168,602,1,0.99
1169,602,1,0.99
1170,602,4,0.82
1171,603,4,0.19
1172,604,1,0.99
1173,604,4,0.15
1174,605,1,0.99
1175,605,4,0.15
1176,606,4,0.60
1177,607,2,5.99
1178,607,1,0.99
1179,607,1,0.99
1180,607,4,0.67
1181,608,1,0.99
1182,608,2,5.99
1183,608,4,0.60
1184,609,2,5.99
1185,609,4,0.37
1186,610,1,0.99
1187,610,4,0.30
1188,611,1,0.99
1189,611,1,0.99
1190,611,4,0.67
1191,612,4,0.07
1192,613,1,0.99
1193,613,4,0.52
1194,614,4,0.22
1195,615,4,0.60
1196,616,1,0.99
1197,616,4,0.30
1198,617,2,5.99
1199,617,4,0.30
1200,618,4,0.52
1201,619,4,0.45
1202,620,4,0.30
1203,621,1,0.99
1204,621,1,0.99
1205,621,4,0.67
1206,622,4,0.15
1207,623,1,0.99
1208,623,1,0.99
1209,623,4,0.58
1210,624,1,0.99
1211,624,1,0.99
1212,624,4,0.90
1213,625,1,0.99
1214,625,1,0.99
1215,625,4,0.52
1216,626,1,0.99
1217,626,4,0.30
1218,627,1,0.99
1219,627,4,0.52
1220,628,1,0.99
1221,628,2,5.99
1222,628,4,0.30
1223,629,2,5.99
1224,629,1,0.99
1225,629,4,0.75
1226,630,2,5.99
1227,630,1,0.99
1228,630,4,0.45
1229,631,4,0.19
1230,632,1,0.99
1231,632,4,0.45
1232,633,1,0.99
1233,633,4,0.45
1234,634,4,0.15
1235,635,4,0.75
1236,636,1,0.99
1237,636,2,5.99
1238,636,4,0.19
1239,637,1,0.99
1240,637,2,5.99
1241,637,4,0.82
1242,638,4,0.15
1243,639,1,0.99
1244,639,4,0.30
1245,640,2,5.99
1246,640,1,0.99
1247,640,4,0.90
1248,641,1,0.99
1249,641,4,0.15
1250,642,4,0.30
1251,643,1,0.99
1252,643,1,0.99
1253,643,4,0.45
1254,644,1,0.99
1255,644,4,0.52
1256,645,1,0.99
1257,645,1,0.99
1258,645,4,0.56
1259,646,4,0.37
1260,647,1,0.99
1261,647,1,0.99
1262,647,4,0.60
1263,648,4,0.37
1264,649,1,0.99
1265,649,1,0.99
1266,649,1,0.99
1267,649,4,0.67
1268,650,1,0.99
1269,650,4,0.37
1270,651,1,0.99
1271,651,1,0.99
1272,651,1,0.99
1273,651,4,0.75
1274,652,4,0.37
1275,653,4,0.22
1276,654,1,0.99
1277,654,4,0.48
1278,655,2,5.99
1279,655,1,0.99
1280,655,4,0.58
1281,656,4,0.15
1282,657,1,0.99
1283,657,4,0.07
1284,658,4,0.60
1285,659,1,0.99
1286,659,1,0.99
1287,659,4,0.60
1288,660,4,0.82
1289,661,1,0.99
1290,661,4,0.37
1291,662,1,0.99
1292,662,4,0.75
1293,663,1,0.99
1294,663,1,0.99
1295,663,4,0.75
1296,664,1,0.99
1297,664,4,0.15
1298,665,4,0.48
1299,666,4,0.52
1300,667,2,5.99
1301,667,1,0.99
1302,667,4,0.67
1303,668,1,0.99
1304,668,1,0.99
1305,668,4,0.22
1306,669,1,0.99
1307,669,4,0.60
1308,670,4,0.26
1309,671,4,0.75
1310,672,4,0.37
1311,673,4,0.15
1312,674,1,0.99
1313,674,4,0.52
1314,675,1,0.99
1315,675,4,0.15
1316,676,4,0.07
1317,677,4,0.15
1318,678,4,0.30
1319,679,1,0.99
1320,679,1,0.99
1321,679,4,0.60
1322,680,2,5.99
1323,680,4,0.52
1324,681,4,0.07
1325,682,1,0.99
1326,682,4,0.15
1327,683,4,0.15
1328,684,4,0.15
1329,685,4,0.75
1330,686,1,0.99
1331,686,1,0.99
1332,686,4,0.60
1333,687,1,0.99
1334,687,4,0.07
1335,688,1,0.99
1336,688,4,0.52
1337,689,4,0.11
1338,690,4,0.15
1339,691,4,0.60
1340,692,4,0.45
1341,693,1,0.99
1342,693,4,0.52
1343,694,4,0.22
1344,695,4,0.30
1345,696,4,0.37
1346,697,1,0.99
1347,697,4,0.49
1348,698,4,0.45
1349,699,1,0.99
1350,699,1,0.99
1351,699,4,0.52
1352,700,4,0.30
1353,701,4,0.30
1354,702,4,0.22
1355,703,4,0.11
1356,704,4,0.07
1357,705,4,0.63
1358,706,1,0.99
1359,706,4,0.60
