person_id,name,birthday,description
11493,Leslie Howard,1893-04-03,"From Wikipedia, the free encyclopedia<br><br>Leslie Howard (3 April 1893 – 1 June 1943) was an English stage and film actor, director, and producer. Among his best-known roles was Ashley Wilkes in Gone with the Wind (1939) and roles in Berkeley Square (1933), Of Human Bondage (1934), The Scarlet Pimpernel (1934), The Petrified Forest (1936), Pygmalion (1938), Intermezzo (1939), Pimpernel Smith (1941) and The First of the Few (1942).<br><br>Howard's Second World War activities included acting and filmmaking. He was active in anti-Nazi propaganda and reputedly involved with British or Allied Intelligence, which may have led to his untimely death in 1943 when his airliner was shot down, sparking modern conspiracy theories regarding his death.<br><br>Description above from the Wikipedia article Leslie Howard (actor), licensed under CC-BY-SA, full list of contributors on Wikipedia.<br><br>​"
17753,Lionel Barrymore,1878-04-28,"From Wikipedia, the free encyclopedia. <br><br>Lionel Barrymore was an American actor of stage, screen and radio as well as a film director. He won an Academy Award for Best Actor for his performance in A Free Soul (1931), and remains best known to modern audiences for the role of the villainous Mr. Potter character in Frank Capra's 1946 film It's a Wonderful Life. He is also particularly remembered as Ebenezer Scrooge in annual broadcasts of A Christmas Carol during his last two decades. He is also known for playing Dr. Leonard Gillespie in MGM's nine Dr. Kildare films, a role he reprised in a further six films focussing solely on Gillespie and in a radio series entitled The Story of Dr. Kildare. He was a member of the theatrical Barrymore family."
30537,James Gleason,1882-05-23,"James Gleason was born in New York City to William Gleason and Mina Crolius, who were both in the theatre. He was married to Lucile Gleason (born Lucile Webster), and had a son, Russell Gleason.  As a young man James fought in the Spanish-American War. After the war  he joined the stock company at the Liberty Theater in Oakland,  California, which his parents were running. James and his wife then  moved to Portland, Oregon, where they played in stock at the Baker  Theater. For several years afterward they toured in road shows until  James enlisted in the army during World War I. When he returned he  appeared on the stage in ""The Five Million."" He then turned to writing,  including ""Is Zat So"", which he produced for the NY stage. He also wrote  and acted in ""The Fall Guy"" and ""The Shannons on Broadway."" Next he  wrote The Broadway Melody (1929) for MGM. He collaborated, in 1930, on The Swellhead (1930), Dumbbells in Ermine (1930), What a Widow! (1930), Rain or Shine (1930) and His First Command  (1929). He and his wife were then contracted to Pathe, Lucille to act,  and James (or Jimmie as he was known) as a writer. Probably his most  famous acting role was as Max Corkle, the manager of Joe Pendleton who  was wrongly plucked from this life into the next, in the hit fantasy Here Comes Mr. Jordan (1941)."
11492,Clark Gable,1901-02-01,"William Clark Gable (February 1, 1901 – November 16, 1960) was an American film actor. In 1999, the American Film Institute named Gable seventh among the greatest male stars of all time.<br><br>Gable's most famous role was Rhett Butler in the 1939 Civil War epic film Gone with the Wind, in which he starred with Vivien Leigh. His performance earned him his third nomination for the Academy Award for Best Actor; he won for It Happened One Night (1934) and was also nominated for Mutiny on the Bounty (1935). Later performances were in Run Silent, Run Deep, a submarine war film, and his final film, The Misfits (1961), which paired Gable with Marilyn Monroe, also in her last screen appearance.<br><br>During his long film career, Gable appeared opposite some of the most popular actresses of the time. Joan Crawford, who was his favorite actress to work with, was partnered with Gable in eight films, Myrna Loy was with him seven times, and he was paired with Jean Harlow in six productions. He also starred with Lana Turner in four features, and with Norma Shearer in three. Gable was often named the top male star in the mid-30s, and was second only to the top box-office draw of all, Shirley Temple.<br><br>Description above from the Wikipedia article Clark Gable, licensed under CC-BY-SA, full list of contributors on Wikipedia"
13823,George Irving,1874-10-05,"George Irving was born in New York City in 1874. Beginning his film career in 1914, he was initially an Actor-director, until he switched exclusively to acting in the mid-20s and became a character actor until the later 40s. He died from a heart attack in Hollywood in 1961."
84034,Clarence Brown,1890-05-10,"​From Wikipedia, the free encyclopedia<br><br>Clarence Brown (May 10, 1890 – August 17, 1987) was an American film director.<br><br>Description above from the Wikipedia article Clarence Brown, licensed under CC-BY-SA, full list of contributors on Wikipedia."
13324,Paul Scofield,1922-01-21,"From Wikipedia, the free encyclopedia<br><br>David Paul Scofield, CH, CBE (21 January 1922 – 19 March 2008), better known as Paul Scofield, was an English actor of stage and screen. Noted for his distinctive voice and delivery, Scofield received an Academy Award and a BAFTA Award for his performance as Sir Thomas More in the 1966 film A Man for All Seasons, a reprise of the role he played in the stage version at the West End and on Broadway for which he received a Tony Award.<br><br>Description above from the Wikipedia article Paul Scofield, licensed under CC-BY-SA, full list of contributors on Wikipedia."
13325,Wendy Hiller,1912-08-15,"From Wikipedia, the free encyclopedia<br><br>Dame Wendy Margaret Hiller DBE (15 August 1912 – 14 May 2003) was an English film and stage actress, who enjoyed a varied acting career that spanned nearly sixty years. The writer Joel Hirschorn, in his 1984 compilation Rating the Movie Stars, described her as ""a no-nonsense actress who literally took command of the screen whenever she appeared on film"". Despite many notable film performances, she chose to remain primarily a stage actress.<br><br>Description above from the Wikipedia article Wendy Hiller, licensed under CC-BY-SA, full list of contributors on Wikipedia."
7192,Leo McKern,1920-03-16,"From Wikipedia, the free encyclopedia<br><br>Reginald ""Leo"" McKern, AO (16 March 1920 – 23 July 2002) was an Australian-born English actor who appeared in numerous British and Australian television programmes and movies, and more than 200 stage roles.<br><br>Description above from the Wikipedia article leo McKern, licensed under CC-BY-SA, full list of contributors on Wikipedia."
8606,Robert Shaw,1927-08-09,"​From Wikipedia, the free encyclopedia.  <br><br>Robert Archibald Shaw (9 August 1927 – 28 August 1978) was an English stage and film actor and novelist, remembered for his performances in The Sting, From Russia with Love, A Man for All Seasons, the original The Taking of Pelham One Two Three (1974), Black Sunday (1977), The Deep (1977) and Jaws, where he played the shark hunter Quint.<br><br>Description above from the Wikipedia article Robert Shaw , licensed under CC-BY-SA, full list of contributors on Wikipedia."
40,Orson Welles,1915-05-06,"From Wikipedia, the free encyclopedia.<br><br>George Orson Welles (May 6, 1915 – October 10, 1985), best known as Orson Welles, was an American film director, actor, theatre director, screenwriter, and producer, who worked extensively in film, theatre, television and radio. Noted for his innovative dramatic productions as well as his distinctive voice and personality, Welles is widely acknowledged as one of the most accomplished dramatic artists of the twentieth century, especially for his significant and influential early work—despite his notoriously contentious relationship with Hollywood. His distinctive directorial style featured layered, nonlinear narrative forms, innovative uses of lighting such as chiaroscuro, unique camera angles, sound techniques borrowed from radio, deep focus shots, and long takes. Welles's long career in film is noted for his struggle for artistic control in the face of pressure from studios. Many of his films were heavily edited and others left unreleased. He has been praised as a major creative force and as ""the ultimate auteur.""<br><br>After directing a number of high-profile theatrical productions in his early twenties, including an innovative adaptation of Macbeth and The Cradle Will Rock, Welles found national and international fame as the director and narrator of a 1938 radio adaptation of H. G. Wells's novel The War of the Worlds performed for the radio drama anthology series Mercury Theatre on the Air. It was reported to have caused widespread panic when listeners thought that an invasion by extraterrestrial beings was occurring. Although these reports of panic were mostly false and overstated,[2] they rocketed Welles to instant notoriety.<br><br>Citizen Kane (1941), his first film with RKO, in which he starred in the role of Charles Foster Kane, is often considered the greatest film ever made. Several of his other films, including The Magnificent Ambersons (1942), The Lady from Shanghai (1947), Touch of Evil (1958), Chimes at Midnight (1965), and F for Fake (1974), are also widely considered to be masterpieces.<br><br>In 2002, he was voted the greatest film director of all time in two separate British Film Institute polls among directors and critics, and a wide survey of critical consensus, best-of lists, and historical retrospectives calls him the most acclaimed director of all time. Well known for his baritone voice, Welles was also an extremely well regarded actor and was voted number 16 in AFI's 100 Years... 100 Stars list of the greatest American film actors of all time. He was also a celebrated Shakespearean stage actor and an accomplished magician, starring in troop variety shows in the war years.<br><br>Description above from the Wikipedia article Orson Welles, licensed under CC-BY-SA, full list of contributors on Wikipedia."
13326,Susannah York,1939-01-09,"Susannah York (9 January 1939 – 15 January 2011) was a British film, stage and television actress. She was awarded a BAFTA as Best Supporting Actress for They Shoot Horses, Don't They? (1969) and was nominated for an Oscar and Golden Globe for the same film. She won best actress for Images at the 1972 Cannes Film Festival. In 1991 she was appointed an Officier de l'Ordre des Arts et des Lettres. Her appearances in various hit films of the 1960s formed the basis of her international reputation,and an obituary in The Telegraph characterised her as ""the blue-eyed English rose with the china-white skin and cupid lips who epitomised the sensuality of the swinging Sixties"".  Description above from the Wikipedia article Susannah York, licensed under CC-BY-SA, full list of contributors on Wikipedia."
13327,Nigel Davenport,1928-05-23,"From Wikipedia, the free encyclopedia.<br><br>Nigel Davenport (born 23 May 1928) is an English stage, television and film actor.<br><br>Description above from the Wikipedia article Nigel Davenport, licensed under CC-BY-SA, full list of contributors on Wikipedia.​"
5049,John Hurt,1940-01-22,"John Vincent Hurt, CBE (born 22 January 1940) was an English actor, known for his leading roles as John Merrick in The Elephant Man, Winston Smith in Nineteen Eighty-Four, Mr. Braddock in The Hit, Stephen Ward in Scandal and Quentin Crisp in The Naked Civil Servant, Caligula in the television series, I, Claudius (TV series), and An Englishman in New York. Recognizable for his distinctive rich voice, he has also enjoyed a successful voice acting career, starring in films such as Watership Down, The Lord of the Rings and Dogville, as well as BBC television series Merlin. Hurt initially came to prominence for his role as Richard Rich in the 1966 film A Man for All Seasons, and has since appeared in such popular motion pictures as: Alien, Midnight Express, Rob Roy, V for Vendetta, Indiana Jones and the Kingdom of the Crystal Skull, the Harry Potter film series and the Hellboy film series. Hurt is one of England's best-known, most prolific and sought-after actors, and has had a versatile film career spanning six decades. He is also known for his many Shakespearean roles. Hurt has received multiple awards and honours throughout his career including three BAFTA Awards and a Golden Globe Award, with six and two nominations respectively, as well as two Academy Award nominations. His character's final scene in Alien is consistently named as one of the most memorable in cinematic history.<br><br>Description above from the Wikipedia article John Hurt , licensed under CC-BY-SA, full list of contributors on Wikipedia."
4065,Fred Zinnemann,1907-04-29,"From Wikipedia, the free encyclopedia<br><br>Fred Zinnemann (April 29, 1907 – March 14, 1997) was an Austrian-American film director. He won four Academy Awards and directed movies like High Noon, From Here to Eternity and A Man for All Seasons.<br><br> <br><br>Description above from the Wikipedia article Fred Zinnemann, licensed under CC-BY-SA, full list of contributors on Wikipedia."
85895,Broderick Crawford,1911-12-09,"From Wikipedia, the free encyclopedia. Broderick Crawford (December 9, 1911 – April 26, 1986) was an Academy Award-winning American stage, film, radio and TV actor, often cast in tough-guy roles and best known for his starring role in the television series ""Highway Patrol.""<br><br>Description above from the Wikipedia article Broderick Crawford, licensed under CC-BY-SA, full list of contributors on Wikipedia."
14502,John Ireland,1914-01-30,"From Wikipedia, the free encyclopedia. John Benjamin Ireland (January 30, 1914 – March 21, 1992) was an actor and film director.<br><br>Description above from the Wikipedia article John Ireland, licensed under CC-BY-SA, full list of contributors on Wikipedia."
30296,Joanne Dru,1922-01-31,"From Wikipedia, the free encyclopedia. <br><br>Joanne Dru (January 31, 1922 – September 10, 1996)  was an American film and television actress, known for such films as Red River and All the King's Men.<br><br>Description above from the Wikipedia article Joanne Dru, licensed under CC-BY-SA, full list of contributors on Wikipedia."
39608,John Derek,1926-08-12,"From Wikipedia, the free encyclopedia. <br><br>John Derek (August 12, 1926 – May 22, 1998) was an American actor, director and photographer most famous for the women to whom he was married.<br><br>Description above from the Wikipedia article John Derek, licensed under CC-BY-SA, full list of contributors on Wikipedia."
18737,Mercedes McCambridge,1916-03-16,"​From Wikipedia, the free encyclopedia.  <br><br>Carlotta Mercedes McCambridge (March 16, 1916 – March 2, 2004) was an American actress. Orson Welles called her ""the world's greatest living radio actress"".<br><br>Description above from the Wikipedia article Mercedes McCambridge, licensed under CC-BY-SA, full list of contributors on Wikipedia."
82676,Shepperd Strudwick,1907-09-22,
83801,Ralph Dumke,1899-07-25,
40233,Anne Seymour,1909-09-11,
14875,Robert Rossen,1908-03-16,"From Wikipedia, the free encyclopedia.  Robert Rossen (March 16, 1908 – February 18, 1966) was an American screenwriter, film director, and producer whose film career spanned almost three decades. His 1949 film All the King's Men won Oscars for Best Actor and Best Supporting Actress, while Rossen was nominated for an Oscar as Best Director. He won the Golden Globe for Best Director and the film won the Golden Globe Award for Best Picture. In 1961 he made The Hustler, which was nominated for nine Oscars and won two. Rossen was nominated as Best Director and with Sidney Carroll for Best Adapted Screenplay but did not win either award.<br><br>After directing and writing for the stage in New York, Rossen moved to Hollywood in 1937. There he worked as a screenwriter for Warner Bros. until 1941, and then interrupted his career to serve until 1944 as the chairman of the Hollywood Writers Mobilization Against the War, a body to organize writers for the effort in World War II. In 1945 he joined a picket line against Warner Bros., making an enemy of Jack Warner. After making one film for Hal Wallis's new-formed production company, Rossen made one for Columbia Pictures, another for Wallis and most of his later films for his own companies, usually in collaboration with Columbia.<br><br>Rossen was a member of the American Communist Party from 1937 to about 1947, and believed the Party was ""dedicated to social causes of the sort that we as poor Jews from New York were interested in.""[1] However, he finally ended all relations with the Party in 1949. Rossen was twice called before the House Un-American Activities Committee (HUAC), in 1951 and in 1953. He exercised his Fifth Amendment rights at his first appearance, refusing to state whether he had ever been a Communist. As a result he was unofficially blacklisted by the Hollywood studio bosses, and he was unable to renew his passport. At his second appearance he named 57 people as current or former Communists and was removed from the unofficial blacklist.<br><br>After this, he had to produce his next film, Mambo, in Italy in 1954 to repair his finances. While The Hustler in 1961 was a great success, conflict with the star of Lilith so disillusioned Rossen that he made no more films during the last three years of his life.<br><br>Rossen's films for Warner generally described the conditions of working people, the portrayal of gangsters and racketeers, and opposition to fascism. He wrote that ambition and the desire for success were common themes in his work. His films often featured strong female characters. All Rossen's playscripts were adaptions except three which were based on real events. While head of production at Warner, Wallis considered that some of his best films were written by Rossen.<br><br>Description above from the Wikipedia article Robert Rossen, licensed under CC-BY-SA, full list of contributors on Wikipedia."
1164,F. Murray Abraham,1939-10-24,"From Wikipedia, the free encyclopedia.<br><br>Fahrid Murray Abraham (born October 24, 1939) is an American actor. He became known during the 1980s after winning the Academy Award for Best Actor for his role as Antonio Salieri in Amadeus. He has appeared in many roles, both leading and supporting, in films such as All the President's Men and Scarface. He is also known for his television and theatre work."
3999,Tom Hulce,1953-12-06,"From Wikipedia, the free encyclopedia.<br><br>Tom Hulce (born Thomas Edward Hulce on December 6, 1953) is an American actor and theater producer. As an actor, he is perhaps best known for his Oscar-nominated portrayal of Mozart in the movie Amadeus and his role as ""Pinto"" in National Lampoon's Animal House. Additional acting awards included a total of four Golden Globe nominations, an Emmy Award, and a Tony Award nomination. Hulce retired from acting in the mid-1990s in order to focus upon stage directing and producing. In 2007, he won a Tony Award as a lead producer of the Broadway musical Spring Awakening.<br><br>Description above from the Wikipedia article Tom Hulce, licensed under CC-BY-SA, full list of contributors on Wikipedia."
4000,Elizabeth Berridge,1962-05-02,"Elizabeth Berridge (born May 2, 1962) is an American film and theatre actress. She is best-known for playing Constanze Mozart in the Academy Award winning 1984 film Amadeus.<br><br>Berridge was born in New Rochelle, New York, the daughter of George Berridge, a lawyer, and Mary L. Berridge (née Robinson), a social worker. The Berridge family settled in Larchmont, New York, where she attended Chatsworth Elementary School, there she began to perform and sing. Due to her acting commitments, she earned her diploma through an independent-study program at Mamaroneck High School.<br><br>Berridge was called in to audition for the part of Constanze Mozart after filming had already commenced in Prague on Amadeus. The actress who had begun the role, Meg Tilly, injured her leg in a neighborhood soccer game and had to quit the project. Two actresses were flown to Prague, and after a week's auditions Berridge was given the part (supposedly because the other actress was ""too pretty"" to play the part of an innkeeper's daughter). Berridge (and the other cast members) remained in Prague for six months to complete the onsite filming.<br><br>Description above from the Wikipedia article Elizabeth Berridge, licensed under CC-BY-SA, full list of contributors on Wikipedia."
4002,Roy Dotrice,1923-05-26,"From Wikipedia, the free encyclopedia.<br><br>Roy Dotrice, OBE (born 26 May 1923) is a British actor known for his Tony Award-winning Broadway performance in the revival of A Moon for the Misbegotten.<br><br>Description above from the Wikipedia article Roy Dotrice, licensed under CC-BY-SA, full list of contributors on Wikipedia."
4001,Simon Callow,1949-06-13,"From Wikipedia, the free encyclopedia.  Simon Phillip Hugh Callow, CBE (born 15 June 1949) is an English actor, writer and theatre director.  Description above from the Wikipedia article Simon Callow, licensed under CC-BY-SA, full list of contributors on Wikipedia"
4003,Christine Ebersole,1953-02-21,"Ms. Ebersole won the 2007 Tony Award for Best Actress in a Musical for her work in ""Grey Gardens"". Previously, she was awarded the Drama Desk Award, the Outer Critics Circle Award, the Drama League awarded<br><br> her both a citation and the Outstanding Performance of the Year, and <br><br>she was named to its dais for 2007. She also received a special citation<br><br> from the New York Drama Critics' Circle and the Obie for her off-Broadway turn in ""Grey Gardens""."
4004,Jeffrey Jones,1946-09-28,"From Wikipedia, the free encyclopedia.  Jeffrey Duncan Jones (born September 28, 1946) is an American actor. He has appeared in many films and television shows, but may be best known for his roles as Emperor Joseph II in Miloš Forman’s Amadeus, Charles Deetz in Beetlejuice, and dean of students Edward R. Rooney in the 1986 John Hughes film Ferris Bueller's Day Off.  Description above from the Wikipedia article Jeffrey Jones, licensed under CC-BY-SA, full list of contributors on Wikipedia."
4005,Barbara Bryne,\N,
3974,Miloš Forman,1932-02-18,"Born Jan Tomas Forman in Caslav, Czechoslovakia, on February 18, 1932, a young Milos Forman lost his parents in the Nazi concentration camp at Auschwitz. He studied filmmaking in Prague and made several films in his native country during the 1960s, including his first, Magic Lantern II (1960), before leaving for America. His first American film, Taking Off (1971), received little attention. But the follow-up, One Flew Over the Cuckoo's Nest (1975), was an unqualified success and earned Forman a Best Director Oscar. After adaptations of the musical ""Hair"" (1970) and the book Ragtime (1981), Forman directed the Mozart biography Amadeus (1984), which garnered a second Oscar for directing. He continued to strike gold in the biography genre with the Oscar-nominated The People vs. Larry Flynt (1996) and Man on the Moon (1999), which chronicled the bizarre life of comedian Andy Kaufman."
1979,Kevin Spacey,1959-07-26,"Kevin Spacey Fowler (born July 26, 1959), better known by his stage name Kevin Spacey, is an American actor of screen and stage, film director, producer, screenwriter and singer who has resided in the United Kingdom since 2003. He began his career as a stage actor during the 1980s before obtaining supporting roles in film and television. He gained critical acclaim in the early 1990s that culminated in his first Academy Award for Best Supporting Actor for the neo-noir crime thriller The Usual Suspects (1995), and an Academy Award for Best Actor for midlife crisis-themed drama American Beauty (1999).<br><br>His other starring roles have included the comedy-drama film Swimming with Sharks (1994), psychological thriller Seven (1995), the neo-noir crime film L.A. Confidential (1997), the drama Pay It Forward (2000), the science fiction-mystery film K-PAX (2001), and the role of Lex Luthor in the superhero film Superman Returns (2006).<br><br>Description above from the Wikipedia article Kevin Spacey, licensed under CC-BY-SA, full list of contributors on Wikipedia."
516,Annette Bening,1958-05-29,"Annette Francine Bening (born May 29, 1958) is an American actress. Bening is a four-time Oscar nominee for her roles in The Grifters, American Beauty, Being Julia and The Kids Are All Right, winning Golden Globe Awards for the latter two films. Bening is married to actor Warren Beatty, with whom she has four children."
2155,Thora Birch,1982-03-11,"Thora Birch (born March 11, 1982) is an American actress. She was a child actor in the 1990s, starring in movies such as All I Want for Christmas (1991), Patriot Games (1992), Hocus Pocus (1993), Now and Then (1995), and Alaska (1996). She came to prominence in 1999 after earning worldwide attention and praise for her performance in American Beauty. She then starred in the well received film Ghost World (2001), which earned her a Golden Globe nomination.<br><br>Description above from the Wikipedia article Thora Birch, licensed under CC-BY-SA, full list of contributors on Wikipedia."
8210,Wes Bentley,1978-09-04,"Wesley Cook ""Wes"" Bentley (born September 4, 1978) is an American film actor known for his roles as Ricky Fitts in American Beauty (1999) and Seneca Crane in The Hunger Games (2012). Bentley was one of four subjects in the documentary My Big Break (2009), which covered his fame after American Beauty and struggles with substance abuse. Rebuilding his career, he starred in the premier of Venus in Fur by David Ives in the off-Broadway production in 2010, whose run was extended.<br><br>Description above from the Wikipedia article Wes Bentley, licensed under CC-BY-SA, full list of contributors on Wikipedia."
