invoice_id,customer_id,invoice_date,amount_paid
50,597,2016-11-30 06:40:12,9.34
51,568,2016-10-31 20:57:43,18.18
52,150,2016-08-28 09:14:24,4.28
53,297,2017-02-23 11:40:10,15.52
54,640,2016-12-06 11:57:33,3.20
55,820,2016-10-25 12:21:13,11.77
56,178,2017-03-06 16:07:18,2.14
57,879,2017-01-02 07:50:58,4.28
58,409,2017-02-03 12:16:42,12.84
59,315,2016-11-29 01:27:08,12.84
60,649,2016-06-27 15:12:02,10.70
61,531,2017-01-20 10:49:23,16.05
62,226,2017-01-10 23:51:22,17.11
63,579,2016-11-03 18:15:01,10.71
64,165,2017-02-05 23:10:10,9.63
65,684,2016-09-30 10:14:24,14.96
66,635,2016-06-03 10:45:17,11.76
67,579,2016-07-23 04:05:13,1.06
68,366,2016-06-26 08:58:20,9.62
69,829,2016-08-31 01:03:01,3.20
70,886,2016-12-27 10:38:07,11.22
71,49,2017-01-01 22:40:39,8.57
72,233,2017-03-19 00:21:32,13.91
73,297,2016-11-08 12:05:50,8.27
74,932,2016-06-04 03:06:40,10.69
75,238,2017-01-27 22:05:29,19.25
76,706,2016-11-07 21:33:16,14.99
77,35,2016-11-14 09:44:28,11.75
78,615,2016-06-14 02:11:49,11.77
79,121,2016-07-13 15:57:15,10.70
80,743,2016-11-13 23:12:13,10.17
81,663,2016-11-19 04:35:14,19.78
82,757,2016-08-09 06:55:58,4.27
83,897,2016-06-23 05:10:12,8.55
84,836,2016-07-30 17:16:15,18.19
85,524,2016-08-16 23:17:06,12.84
86,693,2016-09-15 21:01:50,14.96
87,795,2017-01-24 15:54:12,6.42
88,247,2016-09-15 01:21:42,3.20
89,283,2016-06-25 10:48:10,5.35
90,562,2016-06-27 18:36:26,21.39
91,729,2017-01-22 00:40:48,9.63
92,140,2017-02-28 14:37:57,7.48
93,192,2017-01-15 15:09:56,9.63
94,39,2016-07-31 17:53:48,8.55
95,128,2017-01-26 07:12:05,8.56
96,232,2016-06-26 10:46:00,6.42
97,705,2016-08-16 00:48:03,18.19
98,339,2016-09-12 03:35:00,9.62
99,115,2016-11-23 02:58:13,4.28
100,61,2016-06-18 02:05:45,4.27
101,309,2017-03-16 05:01:49,10.70
102,544,2016-10-19 05:28:49,9.62
103,254,2016-10-08 09:44:15,18.18
104,34,2016-07-16 12:21:52,2.14
105,479,2016-09-29 03:07:16,4.28
106,298,2016-10-16 08:12:42,9.63
107,557,2017-01-19 19:03:38,8.56
108,835,2016-08-09 18:06:31,19.25
109,241,2017-03-15 11:27:56,13.90
110,789,2016-09-24 04:00:19,6.42
111,198,2016-08-21 03:21:04,9.62
112,690,2017-01-16 09:17:11,11.75
113,689,2016-10-02 11:34:53,2.14
114,241,2017-01-11 10:25:37,3.21
115,709,2016-09-29 20:20:34,20.33
116,338,2016-10-14 10:50:55,16.04
117,337,2016-06-17 03:07:52,20.32
118,215,2016-08-28 03:28:33,18.18
119,903,2016-11-17 18:41:23,20.32
120,765,2016-06-24 12:36:10,11.77
121,381,2017-01-02 00:28:38,6.42
122,638,2016-12-12 22:51:33,11.50
123,417,2016-12-31 06:07:13,15.50
124,775,2016-11-17 05:33:33,2.14
125,541,2016-09-11 22:00:29,2.14
126,356,2016-11-10 11:45:26,3.21
127,526,2016-08-31 04:25:20,7.48
128,71,2016-06-24 15:29:12,2.14
129,92,2017-01-07 04:28:33,19.25
130,353,2016-06-10 00:24:04,3.20
131,236,2016-06-19 20:41:47,10.69
132,601,2016-09-01 16:54:25,7.49
133,229,2017-03-18 06:06:25,19.25
134,978,2017-02-04 01:41:09,8.03
135,615,2017-01-25 09:44:30,1.06
136,878,2016-09-06 18:51:52,1.06
137,17,2016-08-01 08:09:23,4.27
138,782,2016-11-27 04:28:34,4.28
139,196,2016-11-29 08:59:17,11.22
140,131,2016-08-12 01:00:08,18.17
141,250,2016-12-12 14:24:06,3.20
142,747,2016-10-12 14:02:09,21.39
143,29,2016-11-30 11:28:07,13.10
144,527,2017-01-07 22:27:00,5.34
145,367,2017-02-23 08:49:00,19.25
146,720,2016-09-17 01:37:58,14.96
147,664,2016-07-01 08:47:55,12.82
148,560,2016-09-03 02:37:24,21.40
149,498,2016-11-22 03:02:27,17.64
150,601,2016-10-23 09:00:14,3.21
151,711,2016-11-30 15:02:00,14.43
152,157,2016-09-28 21:16:24,7.49
153,987,2016-08-08 09:12:23,2.13
154,388,2016-08-11 06:18:24,12.84
155,581,2017-03-28 22:32:21,12.81
156,210,2017-02-23 09:35:32,14.97
157,106,2016-12-28 14:59:46,21.93
158,497,2016-06-18 15:09:09,8.56
159,125,2017-02-05 14:32:07,10.16
160,713,2016-08-10 19:35:37,9.62
161,699,2017-03-30 23:07:47,6.41
162,712,2016-06-18 14:22:55,20.32
163,78,2016-06-25 02:26:06,8.55
164,874,2017-01-28 00:08:10,12.84
165,996,2016-07-01 15:11:07,11.76
166,543,2016-10-28 19:47:48,4.28
167,63,2017-03-31 10:41:53,12.84
168,582,2016-12-19 04:12:08,3.74
169,831,2016-07-26 01:00:27,13.91
170,399,2016-06-21 15:18:18,14.99
171,655,2017-03-23 17:30:39,21.41
172,106,2016-10-30 23:31:39,9.63
173,528,2016-08-24 19:26:57,16.04
174,601,2017-03-17 03:48:31,3.21
175,391,2016-06-11 06:14:04,16.03
176,712,2016-12-14 05:21:47,8.02
177,899,2016-08-13 03:01:12,16.05
178,878,2016-07-10 11:45:09,11.76
179,666,2017-03-24 19:05:15,5.35
180,714,2016-08-10 07:50:58,17.12
181,560,2016-10-11 18:42:26,13.91
182,199,2016-07-16 03:08:05,18.19
183,976,2016-11-05 10:20:14,12.85
184,635,2017-02-02 19:20:39,3.21
185,886,2016-09-03 12:11:19,10.70
186,197,2016-10-10 00:21:55,2.14
187,935,2016-11-29 15:29:44,5.87
188,957,2016-10-18 03:12:03,2.14
189,328,2016-09-14 04:36:02,11.75
190,765,2016-08-05 01:37:01,6.41
191,375,2016-09-19 00:04:56,9.62
192,953,2016-10-25 20:05:38,6.42
193,763,2016-11-21 13:30:39,2.92
194,290,2016-08-24 02:37:18,4.28
195,908,2017-02-19 09:22:08,21.39
196,374,2016-11-04 06:35:09,9.63
197,468,2017-01-19 06:41:18,4.28
198,445,2016-12-02 11:14:15,15.51
199,531,2016-11-08 02:04:18,2.14
200,924,2016-07-23 13:17:21,17.10
201,122,2016-11-17 00:38:28,6.42
202,584,2017-01-22 21:49:52,10.70
203,240,2016-07-09 18:45:31,21.39
204,818,2016-06-02 20:09:55,4.28
205,271,2016-08-27 02:42:24,6.41
206,430,2016-08-13 20:56:30,4.28
207,879,2016-06-15 18:29:18,9.62
208,456,2016-06-30 04:21:05,3.21
209,21,2017-02-07 19:19:59,12.84
210,628,2016-08-19 06:34:40,6.41
211,330,2016-09-05 02:14:03,2.14
212,59,2017-02-21 08:06:56,18.18
213,596,2016-10-17 04:53:42,11.76
214,601,2016-08-09 03:50:19,3.20
215,584,2016-06-30 19:16:38,9.62
216,981,2016-11-16 00:57:36,6.41
217,669,2016-08-17 14:57:26,2.14
218,712,2016-06-05 18:15:20,12.84
219,317,2017-02-04 19:40:29,2.14
220,795,2016-08-25 10:29:48,2.14
221,573,2017-03-26 18:03:26,22.47
222,921,2016-09-26 16:26:58,2.14
223,836,2017-03-23 03:36:12,7.48
224,631,2016-09-29 11:55:34,9.62
225,790,2016-12-02 23:53:23,2.14
226,298,2017-03-03 03:02:22,4.28
227,80,2016-12-11 12:06:07,5.88
228,524,2016-11-06 08:06:49,5.34
229,357,2016-11-05 05:06:44,18.19
230,174,2016-10-03 09:15:17,2.14
231,716,2017-01-08 20:53:13,5.34
232,895,2016-11-18 01:41:10,5.87
233,458,2016-06-12 03:09:27,2.14
234,376,2016-06-04 17:36:31,7.49
235,454,2017-03-07 20:59:28,10.16
236,788,2016-11-18 04:58:08,4.81
237,441,2016-11-12 12:02:49,2.14
238,463,2016-10-08 10:07:31,21.39
239,178,2017-03-03 05:09:50,4.27
240,605,2017-01-09 02:14:07,16.04
241,127,2017-02-13 10:05:53,19.26
242,237,2016-11-25 16:29:56,9.08
243,263,2016-10-28 06:00:59,17.11
244,795,2016-12-11 00:38:43,15.49
245,514,2016-09-01 07:27:14,18.20
246,51,2016-10-07 13:53:19,7.48
247,208,2016-11-13 17:19:55,8.56
248,366,2016-09-07 05:16:32,6.42
249,306,2016-08-12 08:13:18,4.28
250,664,2016-11-09 10:34:40,12.01
251,944,2016-12-16 10:21:29,17.64
252,211,2016-06-29 12:10:19,2.14
253,911,2017-01-05 21:15:02,16.59
254,423,2016-12-07 18:39:49,18.17
255,978,2017-03-30 04:31:53,10.70
256,114,2016-12-24 13:29:34,11.76
257,269,2016-10-28 08:30:14,13.90
258,1,2016-07-09 09:36:48,14.97
259,453,2016-09-11 06:42:08,18.18
260,405,2016-07-19 16:18:57,6.42
261,637,2016-08-12 22:08:03,14.96
262,238,2017-03-16 23:46:02,21.40
263,1002,2016-07-20 01:15:03,1.06
264,333,2016-09-11 08:41:40,17.10
265,743,2017-03-27 10:21:27,5.34
266,118,2016-09-22 04:09:47,18.19
267,186,2016-08-22 11:49:00,4.27
268,114,2016-09-14 01:29:30,18.17
269,902,2016-09-16 00:01:13,9.62
270,864,2016-12-05 20:40:48,14.42
271,772,2017-01-09 14:38:15,10.70
272,621,2017-01-30 04:59:17,5.34
273,753,2016-06-22 19:22:45,17.11
274,76,2016-07-13 02:08:43,1.06
275,186,2016-06-04 20:30:18,13.90
276,407,2016-09-14 15:28:13,19.25
277,950,2016-06-05 06:50:21,12.84
278,638,2017-01-25 22:52:58,2.14
279,772,2016-11-11 04:58:15,4.28
280,244,2017-01-27 21:47:24,7.48
281,750,2017-03-01 02:25:16,14.97
282,899,2016-10-30 11:04:54,14.97
283,120,2016-10-13 20:40:19,3.20
284,186,2017-03-06 12:00:24,1.06
285,888,2017-03-11 07:48:51,8.57
286,532,2016-09-04 03:51:19,4.28
287,789,2016-08-02 04:21:43,6.42
288,254,2017-01-28 06:21:20,12.85
289,905,2017-03-03 07:05:14,10.69
290,395,2016-09-07 06:10:04,1.06
291,313,2017-02-15 01:21:22,2.14
292,324,2016-10-20 08:34:31,1.06
293,38,2016-10-07 23:52:03,5.34
294,287,2017-01-08 00:09:56,9.61
295,627,2016-10-06 08:37:49,8.55
296,966,2016-12-04 21:55:29,4.81
297,673,2017-02-09 18:40:04,11.77
298,69,2016-07-03 17:58:10,11.76
299,754,2016-10-19 12:44:09,5.34
300,202,2017-01-02 15:32:01,6.42
301,693,2017-02-02 18:07:28,9.63
302,314,2017-01-04 03:25:21,4.28
303,949,2016-08-15 12:10:33,7.49
304,306,2017-02-20 03:47:21,2.68
305,521,2017-02-25 17:41:42,21.95
306,732,2016-09-18 05:05:25,7.48
307,148,2016-09-14 00:58:46,18.17
308,463,2017-01-03 03:03:53,11.76
309,615,2016-11-10 20:38:44,6.94
310,236,2017-03-29 11:52:08,4.81
311,369,2017-03-09 19:03:41,4.28
312,895,2017-02-23 00:50:32,2.14
313,341,2016-12-05 20:05:25,18.17
314,635,2017-02-04 10:17:35,4.27
315,925,2016-09-30 07:30:05,19.25
316,145,2017-03-03 07:03:05,14.99
317,230,2017-03-27 05:12:58,12.84
318,203,2016-07-26 15:26:23,6.41
319,82,2016-09-07 06:09:38,16.03
320,711,2017-01-20 00:31:33,3.20
321,296,2017-02-20 19:18:44,11.76
322,974,2017-03-09 02:09:03,11.76
323,257,2016-12-03 14:36:48,5.88
324,383,2016-07-19 08:52:05,9.61
325,734,2016-09-06 14:09:30,11.74
326,897,2017-02-03 13:58:15,13.91
327,63,2017-03-25 08:56:36,5.34
328,557,2016-12-28 12:54:26,9.62
329,503,2017-03-19 20:36:27,8.56
330,191,2017-01-11 21:03:53,2.14
331,342,2016-12-05 16:02:37,17.36
332,714,2016-07-12 18:27:29,16.03
333,515,2016-07-31 20:00:25,10.70
334,869,2017-03-13 06:04:53,12.82
335,845,2016-10-19 20:45:31,19.24
336,789,2016-07-07 20:09:14,3.20
337,9,2016-06-04 06:17:13,13.91
338,32,2016-07-12 03:52:58,21.39
339,184,2017-02-09 00:53:47,9.64
340,500,2016-06-05 00:14:35,16.05
341,282,2016-08-28 14:42:30,7.48
342,901,2017-02-01 08:38:20,10.70
343,1001,2016-10-26 05:39:15,9.62
344,426,2016-11-20 07:49:49,13.09
345,423,2016-09-23 11:20:13,5.34
346,230,2016-09-05 06:01:28,6.42
347,1002,2016-08-19 00:18:33,4.28
348,218,2016-07-18 13:05:30,18.18
349,627,2016-07-16 13:48:27,17.11
350,97,2016-12-15 10:14:05,3.21
351,884,2016-11-06 12:05:53,4.28
352,903,2017-01-02 19:34:20,2.13
353,356,2017-03-24 06:57:22,2.14
354,277,2017-03-17 15:00:29,10.69
355,123,2016-11-01 10:10:39,2.14
356,926,2016-10-11 11:46:50,10.70
357,509,2016-08-12 02:00:02,8.57
358,678,2016-08-17 04:01:39,5.34
359,298,2016-09-15 20:34:14,18.18
360,606,2016-12-21 21:54:18,4.28
361,824,2016-06-09 19:29:43,14.96
362,80,2016-11-18 23:53:57,6.94
363,448,2016-12-28 12:31:31,4.54
364,715,2017-01-22 15:03:19,8.56
365,947,2016-09-28 03:00:20,21.39
366,756,2017-03-09 02:23:10,16.05
367,937,2017-01-29 05:17:56,13.91
368,739,2017-02-08 14:32:05,8.56
369,564,2016-12-30 07:01:42,3.73
370,200,2016-09-09 03:24:56,3.20
371,495,2017-02-03 21:01:02,18.20
372,762,2016-07-08 05:51:06,16.04
373,381,2016-08-27 15:27:55,2.14
374,313,2016-06-03 02:14:51,17.10
375,803,2017-01-07 06:49:40,2.14
376,388,2017-01-16 13:21:00,16.05
377,84,2016-08-21 00:40:47,14.97
378,373,2016-10-11 11:30:54,9.63
379,903,2016-12-24 01:21:21,7.75
380,708,2016-10-30 04:02:39,9.63
381,165,2016-09-29 21:27:53,3.20
382,6,2016-08-11 02:30:09,9.61
383,51,2016-11-16 06:39:08,3.20
384,734,2017-03-29 12:12:19,17.12
385,272,2017-01-02 11:24:32,2.14
386,722,2016-06-21 18:43:51,14.97
387,178,2017-03-01 21:36:53,10.69
388,628,2016-11-06 08:55:32,17.12
389,414,2016-12-11 07:14:57,10.16
390,988,2016-12-18 01:27:51,9.62
391,962,2017-01-04 01:36:41,2.14
392,375,2016-10-06 00:56:11,4.28
393,4,2016-10-30 00:07:42,7.47
394,629,2016-11-12 22:16:43,14.42
395,427,2016-11-11 16:51:20,14.71
396,719,2016-07-12 14:12:11,16.04
397,750,2017-03-04 02:30:47,2.14
398,432,2016-09-08 11:36:53,6.41
399,548,2017-01-11 18:22:07,7.49
400,357,2016-08-07 11:56:25,13.90
401,760,2016-07-02 13:41:31,18.18
402,607,2017-01-19 16:34:52,17.12
403,996,2016-09-10 14:08:34,6.42
404,190,2016-08-22 04:02:55,8.55
405,912,2016-10-27 00:15:28,7.47
406,316,2016-10-09 08:37:09,2.14
407,78,2017-01-21 00:25:05,8.56
408,956,2016-10-13 17:24:14,1.06
409,345,2016-07-07 09:32:18,19.25
410,197,2016-07-25 09:16:42,19.25
411,920,2016-08-02 04:28:44,6.42
412,573,2016-08-08 13:08:07,8.55
413,908,2016-10-22 05:22:45,17.11
414,285,2017-03-21 21:18:19,8.56
415,485,2017-02-03 10:51:46,3.21
416,269,2016-10-12 20:59:32,14.97
417,915,2016-09-17 13:15:07,18.18
418,646,2016-08-11 01:56:53,10.70
419,595,2017-01-28 04:11:45,2.14
420,679,2017-01-08 17:52:04,14.97
421,338,2016-11-15 16:58:48,15.76
422,748,2016-06-01 12:33:31,7.48
423,14,2016-09-25 17:55:24,18.17
424,838,2016-06-03 05:12:38,13.91
425,494,2016-11-26 08:18:02,1.60
426,941,2016-11-17 13:08:09,4.54
427,272,2017-01-13 10:07:10,19.25
428,779,2016-11-17 23:28:25,20.59
429,847,2016-09-22 03:25:45,18.18
430,288,2016-12-08 10:34:40,3.20
431,885,2017-03-03 21:35:17,2.14
432,502,2016-07-04 16:27:15,17.11
433,496,2016-07-26 09:25:41,11.77
434,192,2017-01-23 08:36:55,16.04
435,428,2016-08-09 03:55:20,10.69
436,435,2016-09-21 00:17:18,16.05
437,143,2016-09-17 18:54:10,17.12
438,41,2016-06-21 14:18:33,9.62
439,820,2016-06-18 22:24:57,4.28
440,974,2017-02-14 10:13:08,1.06
441,871,2017-03-23 14:42:38,6.42
442,171,2016-12-02 14:10:07,6.42
443,420,2016-10-25 02:20:29,8.56
444,159,2017-03-13 12:32:29,10.70
445,927,2016-06-09 08:04:06,8.56
446,416,2017-03-20 08:28:54,22.47
447,212,2016-07-09 21:35:44,21.39
448,98,2016-11-20 16:45:34,2.67
449,983,2016-11-08 08:40:40,14.96
450,635,2016-07-10 11:15:12,9.62
451,459,2016-07-30 07:10:37,10.67
452,633,2016-12-25 13:29:51,3.74
453,104,2016-09-29 01:22:32,20.32
454,215,2016-08-14 23:32:15,16.04
455,855,2016-06-02 02:21:29,7.48
456,491,2016-09-23 09:14:09,20.33
457,499,2017-02-08 23:24:39,1.08
458,741,2017-02-24 04:28:42,13.90
459,38,2017-02-07 21:08:35,14.97
460,660,2017-01-02 05:01:49,6.42
461,879,2016-06-12 08:19:30,13.91
462,104,2016-11-27 23:17:03,10.70
463,705,2016-09-04 17:28:02,13.89
464,192,2016-10-11 15:34:47,6.42
465,550,2017-01-22 13:54:48,8.55
466,15,2016-10-03 22:20:55,21.40
467,798,2017-02-03 08:01:39,9.62
468,783,2016-08-05 04:44:44,18.18
469,252,2016-11-14 20:12:41,8.56
470,444,2017-01-11 15:52:02,12.85
471,253,2016-11-29 03:45:59,5.34
472,626,2016-11-08 12:28:21,12.00
473,257,2017-03-23 14:34:43,16.06
474,663,2016-08-22 17:26:52,11.77
475,589,2016-09-08 15:02:29,14.99
476,294,2016-10-04 19:23:07,9.63
477,929,2017-01-24 10:10:20,13.90
478,147,2016-06-27 10:37:06,3.20
479,918,2017-02-23 22:33:29,6.42
480,253,2016-08-20 15:09:24,21.39
481,857,2016-12-18 15:11:45,15.22
482,919,2016-10-10 03:30:55,18.19
483,419,2016-07-12 17:36:14,2.14
484,152,2016-08-28 06:40:57,16.05
485,966,2016-07-13 00:59:48,9.63
486,852,2016-12-26 01:08:07,6.93
487,52,2016-06-12 20:21:58,18.18
488,112,2017-03-08 22:11:13,3.20
489,127,2016-09-29 16:24:48,4.28
490,649,2016-07-08 18:31:30,11.76
491,509,2016-09-22 02:19:03,20.33
492,898,2016-10-25 12:12:00,7.48
493,217,2016-09-15 09:32:36,10.70
494,870,2016-10-31 22:31:15,21.40
495,325,2016-07-22 06:51:22,6.42
496,632,2016-10-26 23:43:15,11.76
497,19,2016-09-02 11:32:03,8.56
498,811,2016-07-17 01:09:24,11.76
499,291,2016-07-01 22:50:25,16.04
500,428,2016-08-26 18:56:09,10.69
501,407,2016-08-23 10:42:10,21.39
502,706,2016-10-28 10:45:43,9.62
503,329,2016-09-21 11:38:42,10.70
504,379,2017-01-16 18:56:18,3.21
505,835,2016-06-15 05:11:25,8.56
506,204,2016-12-28 05:54:58,9.08
507,536,2016-09-23 04:50:08,8.54
508,499,2016-11-03 20:30:07,3.21
509,750,2017-03-26 13:25:26,13.90
510,46,2016-06-03 09:23:30,9.62
511,230,2016-12-22 18:36:38,4.27
512,643,2016-08-02 06:13:09,17.11
513,415,2016-11-10 20:29:29,20.86
514,376,2016-11-13 18:34:43,4.28
515,284,2016-08-15 17:02:48,13.91
516,741,2016-08-08 05:27:30,3.20
517,32,2017-01-17 22:08:40,20.32
518,367,2017-01-29 01:56:15,11.75
519,170,2016-11-16 06:01:40,13.89
520,422,2017-02-22 02:02:32,9.09
521,986,2016-07-13 14:01:19,12.84
522,873,2016-09-01 16:59:28,13.89
523,521,2017-02-05 12:51:04,12.85
524,176,2017-01-06 14:40:27,2.14
525,648,2016-06-20 20:58:53,6.42
526,912,2017-03-08 04:58:53,4.28
527,646,2016-10-24 12:58:16,9.62
528,547,2016-11-17 02:46:18,16.04
529,706,2016-11-16 04:11:11,7.73
530,56,2016-10-08 02:43:02,7.48
531,136,2016-11-06 06:32:55,7.48
532,203,2016-12-11 08:49:39,16.56
533,523,2016-06-03 07:40:27,16.05
534,470,2017-01-12 06:55:09,2.14
535,182,2016-08-21 17:42:29,1.06
536,980,2016-11-22 04:44:05,6.96
537,812,2017-03-12 21:32:17,10.70
538,20,2016-11-25 04:48:28,2.14
539,972,2016-10-11 12:20:18,13.91
540,588,2017-02-22 19:23:43,5.34
541,430,2017-02-03 09:35:16,16.60
542,25,2017-01-19 22:20:50,7.48
543,272,2016-09-19 14:48:12,8.55
544,223,2016-09-02 06:50:28,19.24
545,881,2016-08-29 10:30:29,16.04
546,737,2016-08-29 00:06:40,18.18
547,3,2016-12-22 12:43:49,2.41
548,629,2016-07-29 23:00:35,12.82
549,261,2016-08-16 08:45:39,1.06
550,84,2017-01-10 18:43:50,19.24
551,734,2016-12-27 08:04:34,17.63
552,398,2016-08-23 22:21:01,18.18
553,127,2017-01-21 05:50:34,8.56
554,35,2016-07-01 21:13:45,4.28
555,712,2017-02-06 04:28:35,2.14
556,418,2016-09-01 13:18:08,7.49
557,129,2016-10-21 09:38:27,12.82
558,899,2017-03-16 21:47:48,16.58
559,787,2016-10-18 08:01:09,17.10
560,702,2016-08-04 14:43:38,9.61
561,497,2016-12-16 21:50:28,4.28
562,455,2016-06-10 11:23:56,11.76
563,765,2016-12-19 07:17:34,10.42
564,264,2016-10-01 04:57:53,9.62
565,567,2016-11-05 01:42:51,4.28
566,347,2016-12-18 08:48:50,2.14
567,687,2016-09-25 14:59:31,4.28
568,604,2017-02-28 05:08:40,3.21
569,434,2016-10-14 20:55:34,17.12
570,779,2016-10-25 03:46:47,11.77
571,576,2016-09-20 13:53:16,6.42
572,859,2016-10-21 18:25:59,11.76
573,670,2016-07-15 08:18:03,19.25
574,678,2017-03-29 21:14:13,11.77
575,396,2016-10-29 02:27:03,17.12
576,760,2016-10-19 16:34:43,5.34
577,794,2017-02-25 05:32:39,18.72
578,291,2016-09-29 01:12:36,22.47
579,312,2016-10-16 00:57:16,10.69
580,224,2017-01-30 10:28:47,17.10
581,476,2016-06-19 22:29:59,5.34
582,457,2016-08-09 02:43:25,4.28
583,957,2017-01-23 00:53:06,5.35
584,162,2016-09-28 10:06:24,19.24
585,86,2016-10-29 21:36:18,19.25
586,304,2016-11-18 05:55:51,5.34
587,581,2017-02-01 16:06:43,17.64
588,133,2016-11-21 06:06:45,15.75
589,228,2017-02-10 17:04:00,6.41
590,682,2016-12-06 21:27:04,7.48
591,812,2017-03-29 16:15:10,18.20
592,710,2016-06-03 09:42:10,9.62
593,632,2016-12-17 04:39:59,22.74
594,105,2017-01-27 21:21:37,2.68
595,81,2016-08-17 23:17:36,20.33
596,394,2016-10-27 18:38:32,11.77
597,817,2016-09-02 17:10:25,8.56
598,333,2016-11-23 07:33:31,6.42
599,562,2016-08-05 00:54:25,21.40
600,492,2016-12-13 20:40:35,4.28
601,509,2016-11-01 16:55:06,6.42
602,221,2016-07-05 06:35:12,2.14
603,284,2016-12-01 23:47:43,5.33
604,556,2016-08-16 19:20:55,20.33
605,244,2016-07-18 20:59:08,13.91
606,748,2016-06-03 17:22:28,16.05
607,676,2016-09-08 16:35:40,10.70
608,815,2016-07-15 21:39:56,5.35
609,817,2016-07-03 13:07:35,20.33
610,515,2017-02-03 12:06:21,22.47
611,62,2017-01-26 09:38:01,5.33
612,31,2016-07-13 07:25:02,17.10
613,624,2016-07-24 16:44:51,17.11
614,259,2017-03-09 01:00:20,7.47
615,340,2017-03-07 22:13:17,17.64
616,520,2016-07-07 23:40:44,10.69
617,458,2017-01-02 11:22:46,2.14
618,520,2016-08-02 20:15:49,11.75
619,190,2016-08-07 19:47:02,2.14
620,564,2016-07-11 19:57:35,5.34
621,55,2017-02-18 05:41:14,16.05
622,494,2016-07-22 03:07:52,13.90
623,762,2016-08-18 12:39:34,18.18
624,531,2017-02-18 14:12:01,3.20
625,367,2016-12-15 03:50:08,13.37
626,382,2016-10-20 22:49:03,8.55
627,935,2016-09-01 16:26:28,2.14
628,750,2016-07-02 14:40:33,5.34
629,135,2017-03-24 16:01:52,21.40
630,871,2016-08-21 07:19:03,13.91
631,81,2016-08-19 20:27:08,12.84
632,915,2016-12-01 06:07:56,11.49
633,631,2017-01-05 06:14:20,20.87
634,264,2017-03-19 02:14:40,17.11
635,117,2016-10-21 20:12:34,2.14
636,155,2016-08-05 23:46:28,12.82
637,179,2017-03-04 15:09:08,13.89
638,859,2016-09-26 21:57:41,10.69
639,379,2016-06-22 22:39:51,2.14
640,976,2016-08-02 18:39:34,18.17
641,319,2017-01-28 12:16:49,6.42
642,401,2016-08-01 14:32:48,9.62
643,658,2016-06-02 07:06:55,6.42
644,780,2016-07-18 07:17:24,2.14
645,285,2016-06-24 16:37:16,18.18
646,205,2017-03-09 14:09:57,6.42
647,312,2017-01-12 23:45:42,12.85
648,274,2017-03-14 16:05:03,7.48
649,293,2016-08-25 13:54:37,19.24
650,580,2016-06-09 15:59:41,22.48
651,966,2016-11-22 19:01:29,11.76
652,516,2016-08-29 03:40:36,9.63
653,909,2016-11-14 18:48:45,9.61
654,889,2016-08-25 09:00:40,8.55
655,966,2016-10-07 12:44:32,8.56
656,269,2016-07-29 19:14:57,10.70
657,157,2016-06-08 16:03:40,4.27
658,413,2017-03-30 05:03:31,5.35
659,278,2016-08-25 09:16:54,13.89
660,530,2016-11-29 14:35:18,22.47
661,607,2017-02-07 12:20:53,18.18
662,61,2016-11-09 12:53:53,15.51
663,413,2017-01-12 11:40:24,4.28
664,937,2017-03-25 06:24:33,12.84
