invoice_item_id,inventory_id,discount_id,invoice_id,rental_price,return_date
53,3597,4,10,1.00,NULL
54,6413,5,10,1.00,2017-02-13 21:40:24
55,7144,NULL,10,1.99,2017-02-13 03:13:26
56,1614,NULL,11,1.99,NULL
57,9638,NULL,12,1.99,2016-08-11 17:13:12
58,9764,NULL,12,1.99,NULL
59,10095,NULL,13,1.99,2017-02-07 22:41:52
60,6558,NULL,13,1.99,2017-01-31 22:43:12
61,2759,NULL,13,1.99,2017-01-30 21:32:01
62,2590,NULL,13,0.99,2017-02-23 08:06:39
63,392,NULL,13,1.99,2017-02-20 11:59:20
64,8002,NULL,13,1.99,NULL
65,7522,NULL,13,1.99,2017-01-27 03:12:16
66,1118,NULL,13,1.99,NULL
67,8699,NULL,13,1.99,2017-03-27 08:14:01
68,6368,NULL,13,1.99,NULL
69,4736,NULL,14,1.99,2017-01-25 15:30:15
70,4059,NULL,15,1.99,2017-03-19 00:20:26
71,3154,NULL,15,1.99,2017-01-25 12:03:40
72,4705,NULL,15,1.99,2017-01-17 08:46:39
73,5849,NULL,15,0.99,NULL
74,5472,NULL,15,1.99,2016-08-28 20:22:54
75,6697,NULL,15,1.99,NULL
76,1829,NULL,15,1.99,NULL
77,3627,NULL,16,0.99,2016-11-10 12:01:07
78,3906,NULL,16,1.99,2016-08-14 06:16:15
79,2890,NULL,16,1.99,2016-06-26 14:00:15
80,3246,NULL,16,0.99,2016-08-24 02:49:25
81,5004,NULL,16,1.99,NULL
82,110,NULL,16,1.99,2016-11-13 18:56:23
83,948,NULL,16,1.99,NULL
84,9543,NULL,16,2.99,2016-07-18 22:19:05
85,5574,NULL,16,1.99,2016-08-16 05:59:24
86,1962,NULL,17,1.99,2016-12-19 09:07:38
87,4142,NULL,17,1.99,2016-10-02 23:37:00
88,1020,NULL,18,1.99,NULL
89,8602,NULL,18,2.99,2017-03-12 05:44:01
90,2496,NULL,18,0.99,2017-03-22 15:44:28
91,3405,4,18,1.00,NULL
92,7783,NULL,18,1.99,2017-03-04 16:04:12
93,2532,NULL,19,1.99,2017-01-24 17:59:07
94,8654,2,19,1.49,2017-03-29 23:55:45
95,7953,NULL,20,0.99,2017-01-10 15:42:09
96,7676,NULL,20,1.99,2017-01-13 15:18:16
97,10209,NULL,20,0.99,2016-11-11 19:08:06
98,5521,NULL,20,1.99,2016-08-21 19:44:45
99,7178,NULL,21,1.99,2017-04-01 18:57:30
100,3764,NULL,21,1.99,2017-03-31 21:44:14
101,1127,4,21,0.50,2017-04-01 22:35:10
102,1961,NULL,22,1.99,2017-03-05 02:37:32
103,1449,NULL,22,1.99,2017-01-27 01:37:39
104,9946,NULL,22,0.99,2016-12-17 08:24:54
105,1144,2,22,1.49,2017-03-21 00:29:32
106,7340,NULL,22,2.99,NULL
107,2302,NULL,22,1.99,2017-01-27 15:53:44
108,632,NULL,23,0.99,NULL
109,7385,NULL,23,2.99,2016-10-04 11:14:20
110,2026,NULL,23,0.99,2016-09-29 12:19:14
111,5813,NULL,23,1.99,2016-10-04 21:28:32
112,10335,NULL,23,1.99,NULL
113,6924,NULL,23,1.99,2017-02-18 00:01:03
114,3923,NULL,23,1.99,2016-09-22 22:24:32
115,3759,NULL,23,1.99,2016-12-08 09:14:32
116,5701,NULL,23,1.99,2016-09-27 21:46:48
117,4583,NULL,24,1.99,2017-03-27 09:22:19
118,7688,NULL,24,1.99,2017-03-16 14:43:15
119,1269,NULL,24,0.99,2017-03-20 08:21:56
120,1728,NULL,24,1.99,2017-04-01 12:48:25
121,1316,4,24,1.00,NULL
122,3399,NULL,25,1.99,NULL
123,8933,NULL,26,1.99,2016-12-22 09:48:36
124,6213,NULL,26,1.99,2016-09-15 11:23:12
125,223,NULL,26,1.99,NULL
126,10354,NULL,26,1.99,2016-08-23 05:24:39
127,4701,NULL,26,1.99,2017-03-14 05:32:57
128,2379,NULL,27,2.99,2017-03-25 00:04:37
129,4340,NULL,28,2.99,2016-12-18 22:44:15
130,2949,NULL,28,1.99,2016-12-17 13:39:03
131,7717,NULL,28,1.99,2016-09-18 21:22:59
132,930,NULL,28,1.99,NULL
133,6270,NULL,28,2.99,2016-11-05 11:26:11
134,9077,NULL,29,0.99,2017-03-15 18:59:27
135,2840,NULL,30,1.99,2016-12-15 00:13:49
136,7125,NULL,30,1.99,NULL
137,8472,NULL,30,1.99,2017-03-05 20:22:47
138,8234,NULL,30,1.99,2017-01-07 22:53:34
139,7009,NULL,30,1.99,2017-01-05 01:38:22
140,6896,NULL,30,0.99,2017-03-12 09:04:10
141,8804,NULL,30,1.99,2017-01-25 18:50:06
142,6439,NULL,30,2.99,2017-03-19 10:35:04
143,1967,NULL,30,1.99,2017-02-19 23:43:22
144,907,NULL,31,1.99,2016-11-20 23:07:19
145,2837,NULL,31,1.99,2016-12-12 17:10:10
146,5521,NULL,31,1.99,2017-02-19 23:03:27
147,5620,NULL,31,1.99,2016-10-11 23:39:12
148,9763,NULL,31,1.99,2016-12-04 15:39:54
149,1925,NULL,31,2.99,2017-02-26 10:54:50
150,7079,NULL,32,1.99,NULL
151,5649,NULL,32,1.99,2016-09-02 23:46:56
152,3921,NULL,33,1.99,NULL
153,7565,NULL,33,1.99,NULL
154,9826,4,33,1.50,2017-02-17 19:29:44
155,9790,NULL,33,1.99,NULL
156,3684,NULL,34,1.99,2017-02-17 19:04:23
157,7094,NULL,34,1.99,2017-03-28 09:40:11
158,1069,NULL,34,1.99,2017-02-27 20:35:25
159,8624,NULL,34,1.99,2017-03-29 08:28:43
160,4417,NULL,34,1.99,2017-03-11 14:43:59
161,5076,NULL,34,1.99,2017-03-28 03:31:41
162,9199,NULL,34,1.99,NULL
163,2966,NULL,35,2.99,NULL
164,3524,NULL,35,1.99,2017-02-04 08:34:01
165,1020,NULL,35,1.99,2017-01-25 07:24:07
166,3974,NULL,35,1.99,2017-03-01 02:00:56
167,4678,NULL,35,1.99,2017-02-18 02:57:15
168,7949,NULL,35,0.99,2017-02-19 08:10:27
169,29,NULL,35,1.99,NULL
170,9298,NULL,35,1.99,2017-02-07 08:37:22
171,2610,NULL,35,1.99,NULL
172,10260,NULL,35,0.99,2017-02-27 06:44:51
173,2605,NULL,36,1.99,2017-01-20 15:08:15
174,3874,NULL,36,1.99,2016-12-01 13:27:25
175,9061,NULL,36,1.99,2017-01-17 06:21:10
176,6985,NULL,36,1.99,2017-01-25 08:35:22
177,4878,NULL,36,1.99,2017-02-03 02:19:53
178,10141,NULL,36,1.99,NULL
179,8636,NULL,36,0.99,NULL
180,2347,NULL,36,1.99,2017-01-24 13:42:21
181,367,NULL,36,1.99,2017-01-18 22:59:05
182,5698,NULL,36,1.99,2016-11-08 13:08:37
183,6638,NULL,37,1.99,2017-01-31 04:32:09
184,7983,NULL,37,1.99,2016-10-06 09:54:38
185,7190,NULL,37,1.99,2016-11-22 15:26:32
186,10304,NULL,37,0.99,2016-08-24 09:52:03
187,4111,NULL,37,1.99,NULL
188,4348,NULL,38,1.99,2017-03-09 06:31:29
189,4975,NULL,38,1.99,2016-09-12 09:48:27
190,5576,NULL,38,1.99,2017-01-09 15:43:57
191,9357,NULL,38,1.99,2016-09-20 18:16:26
192,147,NULL,39,0.99,NULL
193,3413,4,39,1.00,NULL
194,4402,NULL,39,1.99,2017-03-02 21:38:04
195,1637,NULL,39,1.99,2017-03-08 08:20:18
196,6904,4,39,0.50,2017-02-14 16:46:47
197,3772,NULL,40,1.99,2017-03-02 00:17:30
198,9039,NULL,40,1.99,NULL
199,4637,NULL,40,1.99,2017-01-28 08:03:21
200,1895,NULL,41,1.99,2017-03-14 03:24:13
201,5245,NULL,41,1.99,2017-02-02 19:27:35
202,6059,NULL,41,1.99,2017-02-23 23:47:47
203,9148,NULL,41,1.99,2017-03-01 07:55:35
204,2507,NULL,41,1.99,2017-01-04 02:32:17
205,10273,NULL,41,1.99,2017-03-10 16:41:39
206,7021,NULL,41,0.99,2017-03-30 14:29:59
207,141,NULL,41,0.99,2017-03-14 09:50:28
208,2757,NULL,41,1.99,2017-01-26 16:02:28
209,3674,NULL,42,1.99,2017-01-28 08:10:33
210,5624,NULL,42,1.99,2016-07-28 11:18:10
211,9643,NULL,42,1.99,2017-03-28 17:18:03
212,1495,NULL,42,2.99,2016-08-30 02:41:56
213,274,NULL,42,0.99,2016-08-02 20:24:19
214,9037,NULL,42,1.99,NULL
215,10133,NULL,42,1.99,2016-08-03 23:11:34
216,8582,NULL,42,0.99,2016-09-06 02:22:00
217,5052,NULL,42,1.99,NULL
218,9255,NULL,42,0.99,2016-11-26 12:58:52
219,4757,NULL,43,1.99,2016-11-17 10:16:37
220,6937,NULL,44,1.99,2017-03-15 00:00:14
221,5767,NULL,44,1.99,2016-11-09 06:13:30
222,2098,NULL,44,1.99,2017-03-06 02:37:39
223,4374,NULL,44,1.99,2016-11-25 05:01:21
224,6373,NULL,44,1.99,2016-11-03 08:02:56
225,9772,NULL,44,1.99,2016-12-20 10:38:54
226,275,NULL,44,0.99,2016-12-14 20:57:22
227,7980,NULL,44,1.99,NULL
228,5944,NULL,45,1.99,2017-01-08 15:31:40
229,3555,NULL,45,0.99,NULL
230,3707,NULL,46,2.99,2017-01-27 04:58:58
231,4164,NULL,47,1.99,NULL
232,2140,NULL,47,1.99,2017-02-27 15:24:58
233,8187,NULL,47,1.99,2016-10-12 22:27:05
234,7391,NULL,47,1.99,2016-10-17 12:35:25
235,7175,NULL,47,2.99,2016-10-24 15:19:09
236,6736,NULL,47,1.99,2017-01-12 21:32:58
237,1882,NULL,47,1.99,2016-09-13 02:56:55
238,9664,NULL,47,1.99,2017-03-01 20:35:45
239,5614,NULL,47,1.99,2016-11-12 21:53:12
240,5901,NULL,47,0.99,NULL
241,8531,NULL,48,1.99,2016-11-29 01:52:20
242,2367,NULL,49,1.99,NULL
243,3952,NULL,49,1.99,2017-01-24 17:08:42
244,2145,NULL,49,1.99,2017-02-05 18:12:43
245,9515,NULL,49,0.99,2016-08-20 10:18:20
246,9572,NULL,50,1.99,2017-03-09 15:21:30
247,6065,NULL,50,1.99,2017-04-01 16:50:47
248,3410,4,50,1.00,2017-03-20 14:00:09
249,5366,5,50,1.00,2017-03-09 12:54:34
250,9553,NULL,50,1.99,2017-02-23 07:29:51
251,6489,NULL,50,0.99,NULL
252,2263,NULL,50,1.99,2017-03-17 11:45:38
253,6048,NULL,50,1.99,2017-03-21 13:32:12
254,151,NULL,50,0.99,2017-03-25 15:54:27
255,10136,4,50,1.00,2017-02-24 02:51:29
256,1005,NULL,51,1.99,2017-03-18 16:12:02
257,6378,4,51,1.00,2017-03-17 16:45:29
258,5653,NULL,51,1.99,NULL
259,9123,NULL,52,1.99,2017-02-17 17:09:24
260,3378,NULL,53,1.99,2017-02-11 11:06:07
261,6134,NULL,53,1.99,2016-11-25 11:17:09
262,9298,NULL,53,1.99,2017-03-21 16:30:40
263,1059,NULL,53,1.99,2016-12-18 20:03:00
264,9673,NULL,53,1.99,2017-01-12 19:50:00
265,6656,NULL,53,1.99,2016-12-26 22:58:03
266,603,NULL,53,0.99,2017-03-02 01:54:15
267,6081,NULL,54,1.99,2017-02-26 14:29:52
268,8905,NULL,54,1.99,2017-03-25 10:18:02
269,998,NULL,54,1.99,2017-01-18 06:36:06
270,3076,NULL,55,1.99,2017-03-02 12:20:05
271,4603,NULL,55,2.99,NULL
272,1263,NULL,55,1.99,2017-03-04 21:16:52
273,2479,NULL,55,1.99,2017-03-31 19:44:46
274,5824,NULL,55,1.99,NULL
275,9032,NULL,55,0.99,2017-03-01 14:25:13
276,10354,NULL,55,1.99,2017-03-05 03:49:25
277,2638,5,55,1.00,2017-03-26 22:19:31
278,3506,NULL,55,1.99,2017-03-06 23:11:41
279,3530,5,55,1.00,2017-03-18 00:55:14
280,9938,NULL,56,1.99,NULL
281,9573,NULL,56,1.99,NULL
282,8384,NULL,56,0.99,2016-12-30 01:34:47
283,7190,NULL,56,1.99,2016-11-25 10:04:48
284,899,NULL,56,1.99,NULL
285,3604,NULL,56,1.99,2017-01-23 05:00:46
286,7131,NULL,56,1.99,2017-01-02 12:48:51
287,9955,NULL,56,0.99,2016-11-09 21:01:18
288,4272,NULL,57,2.99,NULL
289,4395,NULL,57,1.99,2016-12-17 20:15:06
290,8522,NULL,57,2.99,NULL
291,3724,NULL,57,1.99,2016-11-26 13:00:32
292,8888,NULL,57,1.99,2017-03-23 20:15:30
293,6729,NULL,57,1.99,2017-02-16 01:49:29
294,10101,NULL,58,2.99,2016-06-18 01:28:23
295,6064,NULL,58,1.99,2017-03-03 14:33:16
296,5839,NULL,58,0.99,2017-01-05 08:34:36
297,6763,NULL,58,1.99,2016-09-20 21:00:47
298,7922,NULL,58,0.99,2017-02-07 20:37:50
299,4987,NULL,58,0.99,NULL
300,6735,NULL,58,1.99,NULL
301,8742,NULL,58,0.99,2016-06-10 19:04:51
302,5376,NULL,58,1.99,2017-03-02 16:30:38
303,5154,NULL,59,0.99,NULL
304,9120,NULL,59,1.99,NULL
305,537,NULL,59,2.99,NULL
306,7910,NULL,60,1.99,2016-12-23 13:48:19
307,9030,NULL,60,0.99,NULL
308,4589,NULL,60,1.99,2017-02-25 17:55:29
309,9915,NULL,61,1.99,2017-02-22 08:52:24
310,1055,NULL,61,1.99,2017-01-12 06:40:52
311,7491,NULL,61,1.99,2016-11-30 19:43:54
312,5720,NULL,61,1.99,2017-02-20 00:21:12
313,4209,NULL,61,2.99,2017-02-27 10:02:10
314,4585,NULL,61,1.99,2017-02-21 09:38:33
315,7134,NULL,61,1.99,2017-02-15 16:09:03
316,285,4,62,1.00,2017-02-28 05:11:54
317,1256,NULL,63,1.99,NULL
318,9611,NULL,63,1.99,2017-03-22 12:41:52
319,6485,NULL,63,0.99,2017-03-23 15:47:50
320,6938,4,63,1.00,NULL
321,5400,NULL,63,1.99,2017-03-14 03:47:16
322,1231,NULL,63,1.99,2017-04-01 13:24:04
323,2360,NULL,63,2.99,NULL
324,3078,2,64,1.49,2017-03-21 16:53:10
325,7776,NULL,64,1.99,2016-12-17 20:34:17
326,5241,NULL,65,2.99,2016-11-02 12:55:06
327,8892,NULL,65,1.99,2016-11-21 02:42:29
328,4719,NULL,65,0.99,2016-10-13 00:25:09
329,1251,NULL,65,1.99,NULL
330,7586,NULL,66,2.99,2017-02-14 00:49:32
331,6942,NULL,66,0.99,2017-01-28 19:27:06
332,3907,NULL,67,1.99,2016-10-03 16:37:07
333,3836,NULL,67,1.99,2017-01-15 17:50:14
334,5603,NULL,67,1.99,NULL
335,3622,NULL,68,1.99,2017-02-09 11:52:05
336,1256,NULL,68,1.99,NULL
337,5252,NULL,68,1.99,2017-03-13 13:24:14
338,1024,5,68,1.00,NULL
339,9206,NULL,68,1.99,2017-02-15 11:37:51
340,182,NULL,69,1.99,2017-03-17 11:05:27
341,3150,NULL,69,1.99,2017-03-20 20:31:21
342,4999,NULL,69,2.99,2017-03-23 22:55:21
343,7165,NULL,69,1.99,2017-03-20 13:01:48
344,2582,NULL,69,0.99,2017-03-17 08:36:09
345,8525,NULL,69,2.99,2017-03-29 11:19:42
346,1651,NULL,69,1.99,2017-04-01 09:44:06
347,3822,NULL,69,1.99,2017-03-13 01:03:23
348,1250,4,69,1.00,2017-03-21 17:07:16
349,7076,NULL,69,1.99,2017-03-16 17:03:40
350,5502,NULL,70,2.99,2017-02-09 07:15:29
351,5439,4,70,1.00,2017-03-06 04:13:12
352,941,NULL,70,2.99,NULL
353,8375,NULL,70,0.99,2017-02-06 17:05:57
354,3895,NULL,70,2.99,2017-02-14 13:44:47
355,10174,NULL,70,1.99,2017-02-17 03:11:29
356,8739,NULL,70,1.99,2017-02-09 22:06:00
357,8609,NULL,71,1.99,2017-01-09 11:03:40
358,3446,NULL,71,1.99,NULL
359,5182,NULL,72,0.99,2016-10-17 06:26:40
360,1375,NULL,73,2.99,2017-01-29 08:15:10
361,6038,NULL,73,0.99,NULL
362,3019,NULL,73,0.99,NULL
363,4733,NULL,73,1.99,2017-01-20 05:14:48
364,1295,NULL,73,0.99,NULL
365,7634,NULL,73,1.99,2017-01-27 00:37:13
366,1590,NULL,74,1.99,2017-01-17 20:30:09
367,1603,NULL,74,1.99,2016-09-15 12:27:04
368,1753,NULL,74,2.99,2016-10-21 22:26:25
369,112,NULL,74,1.99,2017-02-22 10:34:17
370,9699,NULL,74,1.99,2016-10-18 18:26:26
371,2088,NULL,74,1.99,NULL
372,7568,NULL,74,1.99,NULL
373,87,4,75,1.00,2017-03-09 20:34:43
374,6420,NULL,75,1.99,2017-01-26 08:57:27
375,593,NULL,76,1.99,2017-02-25 07:20:00
376,6508,NULL,76,1.99,NULL
377,8611,NULL,76,1.99,NULL
378,5756,NULL,76,1.99,NULL
379,3087,NULL,76,1.99,NULL
380,10090,NULL,76,1.99,2016-12-12 22:04:24
381,7070,NULL,76,1.99,2017-03-08 00:10:40
382,6793,NULL,77,1.99,2017-01-22 08:43:29
383,8883,NULL,77,1.99,NULL
384,5550,4,77,1.00,2017-01-30 06:29:51
385,662,NULL,77,0.99,2017-02-19 20:21:09
386,6616,NULL,77,2.99,2017-02-05 13:35:42
387,1437,NULL,78,1.99,2017-03-03 02:21:14
388,3779,NULL,78,2.99,2017-02-28 00:59:09
389,447,NULL,78,1.99,2017-03-22 08:02:08
390,4194,NULL,78,1.99,2017-03-30 04:25:38
391,8717,NULL,78,1.99,2017-03-25 12:07:31
392,3823,NULL,78,1.99,2017-03-30 17:01:59
393,2815,NULL,78,0.99,2017-02-23 13:46:12
394,9067,NULL,78,2.99,2017-02-25 04:34:34
395,10069,NULL,79,2.99,NULL
396,5353,NULL,79,1.99,NULL
397,241,4,80,1.00,NULL
398,9270,5,80,0.50,2017-03-08 07:21:21
399,8475,NULL,80,1.99,2017-03-19 13:48:59
400,9312,NULL,80,1.99,2017-03-08 19:24:13
401,5416,NULL,81,1.99,2017-03-04 12:20:08
402,1151,NULL,81,1.99,2017-01-31 12:08:14
403,1163,NULL,81,1.99,2017-01-29 13:49:42
404,10143,NULL,81,1.99,2017-02-09 19:46:17
405,4584,NULL,81,1.99,2017-01-25 12:30:40
406,3263,NULL,81,1.99,2016-12-17 20:33:54
407,7224,NULL,82,1.99,2017-03-12 13:37:00
408,5062,NULL,82,1.99,NULL
409,7029,NULL,82,1.99,2017-03-21 02:57:48
410,5870,NULL,82,0.99,2017-03-30 08:32:47
411,5719,NULL,82,1.99,NULL
412,9075,4,82,0.50,NULL
413,10099,NULL,83,1.99,NULL
414,4994,NULL,83,0.99,2017-03-01 13:10:58
415,2688,NULL,83,0.99,NULL
416,7363,NULL,83,1.99,2017-02-11 19:23:48
417,9116,NULL,84,0.99,2016-08-14 08:14:50
418,3272,NULL,84,1.99,2016-07-24 02:45:46
419,7036,NULL,84,1.99,NULL
420,7030,NULL,84,1.99,2016-07-04 23:17:38
421,9757,NULL,84,1.99,2017-01-07 20:14:38
422,9156,NULL,84,1.99,NULL
423,1220,NULL,84,2.99,2016-09-18 04:45:10
424,1502,NULL,84,0.99,2017-01-17 19:06:13
425,9454,NULL,84,0.99,NULL
426,800,NULL,85,1.99,2016-12-10 08:43:20
427,3166,NULL,85,2.99,NULL
428,1523,NULL,86,1.99,NULL
429,1653,NULL,86,1.99,NULL
430,7194,NULL,86,1.99,NULL
431,9181,NULL,86,1.99,2017-02-17 14:13:53
432,1975,2,86,1.49,2017-02-25 22:08:06
433,3116,NULL,87,1.99,2017-02-13 03:45:12
434,4888,NULL,87,0.99,2016-09-06 05:49:37
435,8615,NULL,87,1.99,NULL
436,9429,NULL,87,1.99,2017-01-16 17:35:04
437,6400,NULL,87,1.99,NULL
438,1223,NULL,87,2.99,2017-03-31 02:38:59
439,8389,NULL,87,0.99,2016-11-17 14:45:58
440,9782,NULL,88,1.99,2017-03-12 06:10:43
441,10381,NULL,88,1.99,2017-03-10 18:12:42
442,4743,NULL,88,2.99,NULL
443,6739,NULL,88,1.99,2017-03-31 06:35:19
444,725,NULL,88,1.99,2017-03-06 08:51:44
445,2072,NULL,88,1.99,2017-03-09 17:52:16
446,1277,NULL,88,0.99,2017-03-07 08:27:43
447,8649,NULL,88,1.99,2017-03-17 01:37:09
448,2389,NULL,89,1.99,2017-02-12 06:28:32
449,8141,NULL,89,1.99,2016-11-19 03:31:39
450,7173,NULL,89,2.99,2016-10-16 06:26:05
451,9858,NULL,89,0.99,2016-11-02 00:24:38
452,9785,NULL,89,1.99,2017-02-04 01:51:23
453,6363,NULL,89,1.99,2017-03-28 12:15:23
454,3535,NULL,89,1.99,NULL
455,5876,NULL,89,0.99,NULL
456,3740,NULL,90,1.99,2017-01-11 18:43:11
457,7227,NULL,91,1.99,2017-03-23 20:57:37
458,8214,NULL,91,1.99,NULL
459,6135,NULL,91,1.99,2016-12-04 16:04:54
460,4633,NULL,91,1.99,2016-11-28 06:17:13
461,6215,NULL,91,2.99,NULL
462,5899,NULL,91,0.99,NULL
463,1498,NULL,91,2.99,2017-01-20 14:37:42
464,9511,NULL,92,0.99,NULL
465,1874,NULL,92,1.99,2017-03-07 23:37:31
466,1154,NULL,92,1.99,NULL
467,5976,NULL,92,2.99,2017-03-14 00:56:50
468,8931,NULL,92,1.99,2017-03-13 10:09:39
469,9864,NULL,92,0.99,NULL
470,7696,NULL,93,2.99,NULL
471,1794,NULL,93,1.99,NULL
472,1021,NULL,93,1.99,2017-03-27 19:36:58
473,480,NULL,94,2.99,2017-02-01 23:27:39
474,6788,NULL,94,1.99,2017-01-22 22:58:13
475,10387,NULL,95,1.99,2017-03-28 08:25:00
476,611,NULL,95,0.99,2016-11-18 06:38:22
477,92,NULL,96,1.99,2017-03-01 05:54:41
478,1237,NULL,96,1.99,2017-02-28 16:46:27
479,1516,NULL,96,0.99,2017-03-22 04:52:15
480,3004,NULL,96,2.99,2017-03-22 12:49:40
481,5537,NULL,96,0.99,2017-03-29 14:31:26
482,903,NULL,96,1.99,NULL
483,6282,NULL,96,0.99,NULL
484,4212,NULL,96,2.99,NULL
485,8443,4,96,0.50,2017-03-11 05:29:11
486,4541,NULL,97,1.99,NULL
487,4491,NULL,97,2.99,NULL
488,8898,NULL,97,1.99,NULL
489,436,NULL,97,2.99,2017-03-18 11:49:52
490,5545,4,98,1.00,2017-03-31 20:37:39
491,7515,NULL,98,1.99,2017-01-12 21:19:05
492,1402,NULL,98,1.99,2017-02-19 15:34:06
493,7319,NULL,98,1.99,2017-02-20 22:37:35
494,8449,4,98,0.50,2017-02-26 09:39:19
495,7607,4,98,1.00,2017-03-16 21:58:29
496,6595,NULL,98,1.99,2017-01-23 12:28:48
497,7386,NULL,99,1.99,2016-12-28 00:22:24
498,3065,NULL,99,2.99,2017-03-17 23:24:16
499,3497,NULL,100,1.99,2017-03-13 02:54:44
500,8694,NULL,100,1.99,NULL
501,5571,5,100,1.00,NULL
502,2026,NULL,100,0.99,2017-03-14 20:44:59
503,5690,NULL,100,1.99,2017-03-05 16:49:10
504,9317,NULL,100,0.99,NULL
505,5402,NULL,101,1.99,NULL
506,1091,NULL,101,0.99,2016-07-26 12:12:43
507,7170,NULL,101,1.99,2016-12-21 00:25:57
508,10308,NULL,101,0.99,2017-03-21 18:12:38
509,456,NULL,101,1.99,2016-07-25 16:53:55
510,6422,NULL,101,1.99,2016-10-26 19:51:12
511,5829,NULL,102,1.99,2017-03-18 08:32:18
512,9108,NULL,103,0.99,2017-03-28 04:21:09
513,4001,NULL,103,1.99,2017-02-03 05:54:36
514,6495,NULL,103,0.99,2017-02-12 07:52:23
515,6719,4,103,1.00,NULL
516,1103,NULL,103,1.99,2017-03-15 17:43:44
517,342,NULL,103,0.99,NULL
518,2633,NULL,104,1.99,2016-09-01 11:31:09
519,2418,NULL,104,1.99,2017-02-21 15:50:38
520,8660,NULL,104,2.99,2017-01-23 08:32:40
521,539,NULL,104,2.99,2016-12-15 15:48:50
522,8496,NULL,104,1.99,2017-03-21 12:25:27
523,9701,NULL,105,1.99,2017-01-01 01:38:53
524,2944,2,105,1.49,2017-03-04 02:11:11
525,7938,2,105,1.49,NULL
526,8792,NULL,105,1.99,2017-01-01 01:45:16
527,6163,NULL,106,1.99,NULL
528,8329,NULL,106,0.99,2017-01-15 06:08:17
529,7097,NULL,106,0.99,NULL
530,7520,NULL,106,1.99,2017-02-26 06:27:11
531,10086,NULL,106,1.99,NULL
532,967,NULL,106,1.99,2016-10-01 00:47:19
533,4062,NULL,106,1.99,2017-01-23 23:59:13
534,8131,NULL,106,1.99,2017-03-27 12:35:38
535,2460,NULL,106,0.99,NULL
536,10079,NULL,107,1.99,NULL
537,3730,NULL,107,1.99,NULL
538,10033,NULL,107,0.99,NULL
539,2775,NULL,107,0.99,2017-01-24 04:52:46
540,3593,NULL,107,1.99,2016-09-16 21:09:41
541,7313,NULL,108,1.99,2016-11-30 17:08:17
542,6156,NULL,108,1.99,2017-03-21 20:52:57
543,8623,NULL,108,1.99,2016-12-18 20:37:02
